question_id,text_en,text_zh,dimension,direction
1,"I tend to worry a lot.","我经常感到焦虑或莫名担忧。",N,1
2,"I make friends easily.","我能很轻松地结交新朋友。",E,1
3,"I have a rich imagination.","我有着天马行空的想象力。",O,1
4,"I generally trust people.","我倾向于信任他人，不轻易怀疑。",A,1
5,"I finish what I start.","只要是我开始做的事，就一定会负责到底。",C,1
6,"I get angry quickly.","我很容易被惹恼或发脾气。",N,1
7,"I enjoy big parties and busy gatherings.","我非常享受热闹的聚会和人多的社交场合。",E,1
8,"Art and creativity matter to me.","我认为艺术和创造力在生活中不可或缺。",O,1
9,"At times, I bend the truth to get what I want.","为了达到目的，我有时不介意稍微扭曲事实。",A,-1
10,"I like things neat and orderly.","我受不了杂乱无章，喜欢把东西收拾得井井有条。",C,1
11,"I often feel down.","我经常会感到一阵莫名的情绪低落。",N,1
12,"I like taking the lead.","在团队中，我喜欢主动承担领导和掌控的角色。",E,1
13,"My feelings can be deep and varied.","我能体验到极其深刻且丰富的情感波动。",O,1
14,"I enjoy helping people.","我发自内心地喜欢帮助遇到困难的人。",A,1
15,"I keep my promises.","我是个重诺守信的人，说到就一定会做到。",C,1
16,"I find it hard to start conversations with strangers.","让我主动和陌生人开启话题会感到很困难。",N,1
17,"I stay busy and active most of the time.","我总是不停地忙碌，享受充满活力的状态。",E,1
18,"I prefer variety over routine.","相比于一成不变的日常，我更喜欢生活充满变化。",O,1
19,"I enjoy arguing just to win.","我有时会仅仅为了享受赢的感觉而和别人激烈争论。",A,-1
20,"I put in a lot of effort at work or study.","对待工作和学习，我一直非常刻苦。",C,1
21,"I sometimes overdo things and later regret it.","我有时会过度放纵自己，事后又感到后悔。",N,1
22,"I look for excitement.","我追求刺激，总在寻找令人兴奋的新鲜事物。",E,1
23,"I enjoy learning challenging topics.","我喜欢阅读或钻研那些充满挑战性的深刻话题。",O,1
24,"I often think I am better than most people.","我骨子里觉得自己比大多数人都要优秀。",A,-1
25,"I prepare in advance.","做任何事之前，我都会提前做好充分的准备。",C,1
26,"I panic easily under pressure.","在巨大的压力下，我很容易惊慌失措。",N,1
