page_identity,faq_index,question,normalized_question,answer_word_count,within_page_unique,cross_page_duplicate_count,intent_resolution,status,page_sha256
big-five-hub,1,How is the Big Five different from MBTI?,howisthebigfivedifferentfrommbti,66,true,1,unique_intent,PASS,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
big-five-hub,2,Is Neuroticism a mental illness?,isneuroticismamentalillness,47,true,2,reviewed_context_specific_answer,PASS,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
big-five-hub,3,Can Big Five scores change?,canbigfivescoreschange,49,true,1,unique_intent,PASS,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
big-five-hub,4,Is a low score bad?,isalowscorebad,45,true,1,unique_intent,PASS,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
big-five-hub,5,Which dimension should I read first?,whichdimensionshouldireadfirst,44,true,1,unique_intent,PASS,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
big-five-hub,6,What is the scientific basis of the Big Five?,whatisthescientificbasisofthebigfive,41,true,1,unique_intent,PASS,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
big-five-hub,7,Do I need to learn all 30 Big Five facets?,doineedtolearnall30bigfivefacets,53,true,1,unique_intent,PASS,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
openness,1,Is Openness related to IQ?,isopennessrelatedtoiq,34,true,1,unique_intent,PASS,1bf7c93bf7c62cf0149664fc90f4399a4a0678bf8f44587cf090a34dbda20614
openness,2,Does high Openness mean being impractical?,doeshighopennessmeanbeingimpractical,28,true,1,unique_intent,PASS,1bf7c93bf7c62cf0149664fc90f4399a4a0678bf8f44587cf090a34dbda20614
openness,3,Does low Openness mean rigid thinking?,doeslowopennessmeanrigidthinking,27,true,1,unique_intent,PASS,1bf7c93bf7c62cf0149664fc90f4399a4a0678bf8f44587cf090a34dbda20614
openness,4,Can Openness change?,canopennesschange,34,true,1,unique_intent,PASS,1bf7c93bf7c62cf0149664fc90f4399a4a0678bf8f44587cf090a34dbda20614
openness,5,What if Openness and Conscientiousness seem to conflict?,whatifopennessandconscientiousnessseemtoconflict,35,true,1,unique_intent,PASS,1bf7c93bf7c62cf0149664fc90f4399a4a0678bf8f44587cf090a34dbda20614
conscientiousness,1,Does high Conscientiousness guarantee success?,doeshighconscientiousnessguaranteesuccess,28,true,1,unique_intent,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
conscientiousness,2,Does low Conscientiousness mean laziness?,doeslowconscientiousnessmeanlaziness,29,true,2,reviewed_context_specific_answer,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
conscientiousness,3,Can Conscientiousness change?,canconscientiousnesschange,27,true,1,unique_intent,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
conscientiousness,4,What are the downsides of high Conscientiousness?,whatarethedownsidesofhighconscientiousness,25,true,1,unique_intent,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
conscientiousness,5,How does Conscientiousness work with other domains?,howdoesconscientiousnessworkwithotherdomains,34,true,1,unique_intent,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
conscientiousness,6,What if I am much more conscientious at work than at home?,whatifiammuchmoreconscientiousatworkthanathome,25,true,1,unique_intent,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
conscientiousness,7,How is Conscientiousness related to procrastination?,howisconscientiousnessrelatedtoprocrastination,32,true,1,unique_intent,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
extraversion,1,Does low Extraversion mean shyness or social anxiety?,doeslowextraversionmeanshynessorsocialanxiety,26,true,1,unique_intent,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
extraversion,2,Can an introverted person succeed in a highly social job?,cananintrovertedpersonsucceedinahighlysocialjob,23,true,1,unique_intent,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
extraversion,3,Is “social energy” scientific or just a metaphor?,issocialenergyscientificorjustametaphor,27,true,1,unique_intent,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
extraversion,4,Can Extraversion change?,canextraversionchange,23,true,1,unique_intent,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
extraversion,5,Does Extraversion determine leadership?,doesextraversiondetermineleadership,26,true,1,unique_intent,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
extraversion,6,What should highly extraverted people watch for?,whatshouldhighlyextravertedpeoplewatchfor,25,true,1,unique_intent,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
extraversion,7,How does Extraversion interact with other domains?,howdoesextraversioninteractwithotherdomains,24,true,1,unique_intent,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
agreeableness,1,Does low Agreeableness mean being cold or unkind?,doeslowagreeablenessmeanbeingcoldorunkind,25,true,1,unique_intent,PASS,de0d087a75da947a3085b203792b41c18f00688b8fa68715af55530054dcdd97
agreeableness,2,Are highly agreeable people easy to exploit?,arehighlyagreeablepeopleeasytoexploit,28,true,1,unique_intent,PASS,de0d087a75da947a3085b203792b41c18f00688b8fa68715af55530054dcdd97
agreeableness,3,Can Agreeableness change?,canagreeablenesschange,29,true,1,unique_intent,PASS,de0d087a75da947a3085b203792b41c18f00688b8fa68715af55530054dcdd97
agreeableness,4,Does Agreeableness conflict with leadership?,doesagreeablenessconflictwithleadership,19,true,1,unique_intent,PASS,de0d087a75da947a3085b203792b41c18f00688b8fa68715af55530054dcdd97
agreeableness,5,Is Agreeableness important in dating and close relationships?,isagreeablenessimportantindatingandcloserelationships,30,true,1,unique_intent,PASS,de0d087a75da947a3085b203792b41c18f00688b8fa68715af55530054dcdd97
agreeableness,6,What are the hidden costs of high Agreeableness?,whatarethehiddencostsofhighagreeableness,22,true,1,unique_intent,PASS,de0d087a75da947a3085b203792b41c18f00688b8fa68715af55530054dcdd97
neuroticism,1,Why use the word “Neuroticism” when it sounds negative?,whyusethewordneuroticismwhenitsoundsnegative,35,true,1,unique_intent,PASS,eb467ba0526684d24597ab51ac0771317092d9815b584f31601ac3ff329766a3
neuroticism,2,Is Neuroticism a mental illness?,isneuroticismamentalillness,23,true,2,reviewed_context_specific_answer,PASS,eb467ba0526684d24597ab51ac0771317092d9815b584f31601ac3ff329766a3
neuroticism,3,Does high Neuroticism mean I am emotionally unstable?,doeshighneuroticismmeaniamemotionallyunstable,25,true,1,unique_intent,PASS,eb467ba0526684d24597ab51ac0771317092d9815b584f31601ac3ff329766a3
neuroticism,4,Can Neuroticism change in daily life?,canneuroticismchangeindailylife,23,true,1,unique_intent,PASS,eb467ba0526684d24597ab51ac0771317092d9815b584f31601ac3ff329766a3
neuroticism,5,Should people with low Neuroticism worry that they do not feel enough emotion?,shouldpeoplewithlowneuroticismworrythattheydonotfeelenoughemotion,30,true,1,unique_intent,PASS,eb467ba0526684d24597ab51ac0771317092d9815b584f31601ac3ff329766a3
neuroticism,6,Is Neuroticism related to physical health?,isneuroticismrelatedtophysicalhealth,29,true,1,unique_intent,PASS,eb467ba0526684d24597ab51ac0771317092d9815b584f31601ac3ff329766a3
openness-high,1,"Does high Openness mean I am unsuited to stable, repetitive work?",doeshighopennessmeaniamunsuitedtostablerepetitivework,24,true,1,unique_intent,PASS,0b4d43c5967ce80c6417cf863d69dbdb1710b2a1990d2776d64a2abb840155dd
openness-high,2,Is high Openness the same as constantly losing interest?,ishighopennessthesameasconstantlylosinginterest,17,true,1,unique_intent,PASS,0b4d43c5967ce80c6417cf863d69dbdb1710b2a1990d2776d64a2abb840155dd
openness-high,3,Are highly open people more likely to be anxious?,arehighlyopenpeoplemorelikelytobeanxious,20,true,1,unique_intent,PASS,0b4d43c5967ce80c6417cf863d69dbdb1710b2a1990d2776d64a2abb840155dd
openness-high,4,Does Openness decline with age?,doesopennessdeclinewithage,13,true,1,unique_intent,PASS,0b4d43c5967ce80c6417cf863d69dbdb1710b2a1990d2776d64a2abb840155dd
openness-high,5,Can I deliberately increase my Openness?,canideliberatelyincreasemyopenness,27,true,1,unique_intent,PASS,0b4d43c5967ce80c6417cf863d69dbdb1710b2a1990d2776d64a2abb840155dd
openness-mid,1,Does mid-range Openness mean I have “no personality”?,doesmidrangeopennessmeanihavenopersonality,20,true,1,unique_intent,PASS,471ae2e1616cb4dbdd320267085b95f04f8800bde84b0590f33953341da44fe8
openness-mid,2,What jobs suit someone with mid-range Openness?,whatjobssuitsomeonewithmidrangeopenness,19,true,1,unique_intent,PASS,471ae2e1616cb4dbdd320267085b95f04f8800bde84b0590f33953341da44fe8
openness-mid,3,Is being very curious sometimes and uninterested at other times consistent with mid-range Openness?,isbeingverycurioussometimesanduninterestedatothertimesconsistentwithmidrangeopenness,18,true,1,unique_intent,PASS,471ae2e1616cb4dbdd320267085b95f04f8800bde84b0590f33953341da44fe8
openness-mid,4,Does mid-range Openness need improvement?,doesmidrangeopennessneedimprovement,22,true,1,unique_intent,PASS,471ae2e1616cb4dbdd320267085b95f04f8800bde84b0590f33953341da44fe8
openness-mid,5,Why can a mid-range person look more creative than a high-range person?,whycanamidrangepersonlookmorecreativethanahighrangeperson,20,true,1,unique_intent,PASS,471ae2e1616cb4dbdd320267085b95f04f8800bde84b0590f33953341da44fe8
openness-low,1,Does low Openness mean I cannot innovate?,doeslowopennessmeanicannotinnovate,22,true,1,unique_intent,PASS,176e34837a0693c765f117a13b56cabc902d023b86eafdbfeaeb6c815ac9aef7
openness-low,2,Do I need to change this range deliberately?,doineedtochangethisrangedeliberately,19,true,1,unique_intent,PASS,176e34837a0693c765f117a13b56cabc902d023b86eafdbfeaeb6c815ac9aef7
openness-low,3,Will low Openness harm relationships?,willlowopennessharmrelationships,15,true,1,unique_intent,PASS,176e34837a0693c765f117a13b56cabc902d023b86eafdbfeaeb6c815ac9aef7
openness-low,4,How is low Openness different from a closed mind?,howislowopennessdifferentfromaclosedmind,22,true,1,unique_intent,PASS,176e34837a0693c765f117a13b56cabc902d023b86eafdbfeaeb6c815ac9aef7
conscientiousness-high,1,Is high Conscientiousness the same as perfectionism?,ishighconscientiousnessthesameasperfectionism,22,true,1,unique_intent,PASS,42c7873d0b844b18998ef459f9e05fc79fc2a9b8533ba95e602d25fa6d0b05f1
conscientiousness-high,2,Will a loosely structured workplace be difficult?,willalooselystructuredworkplacebedifficult,23,true,1,unique_intent,PASS,42c7873d0b844b18998ef459f9e05fc79fc2a9b8533ba95e602d25fa6d0b05f1
conscientiousness-high,3,Why do some highly conscientious people procrastinate?,whydosomehighlyconscientiouspeopleprocrastinate,21,true,1,unique_intent,PASS,42c7873d0b844b18998ef459f9e05fc79fc2a9b8533ba95e602d25fa6d0b05f1
conscientiousness-high,4,How is high Conscientiousness related to career success?,howishighconscientiousnessrelatedtocareersuccess,22,true,1,unique_intent,PASS,42c7873d0b844b18998ef459f9e05fc79fc2a9b8533ba95e602d25fa6d0b05f1
conscientiousness-mid,1,Does mid-range Conscientiousness mean weak self-discipline?,doesmidrangeconscientiousnessmeanweakselfdiscipline,17,true,1,unique_intent,PASS,68e6e5bbf4f608bd402531e81d3d22cdee22f1d137423f84a588d22675f59d0f
conscientiousness-mid,2,Do I need to increase Conscientiousness?,doineedtoincreaseconscientiousness,17,true,1,unique_intent,PASS,68e6e5bbf4f608bd402531e81d3d22cdee22f1d137423f84a588d22675f59d0f
conscientiousness-mid,3,Does mid-range Conscientiousness offer an advantage in leadership?,doesmidrangeconscientiousnessofferanadvantageinleadership,21,true,1,unique_intent,PASS,68e6e5bbf4f608bd402531e81d3d22cdee22f1d137423f84a588d22675f59d0f
conscientiousness-mid,4,Am I unstable if I am disciplined sometimes and relaxed at other times?,amiunstableifiamdisciplinedsometimesandrelaxedatothertimes,17,true,1,unique_intent,PASS,68e6e5bbf4f608bd402531e81d3d22cdee22f1d137423f84a588d22675f59d0f
conscientiousness-low,1,Does low Conscientiousness mean laziness?,doeslowconscientiousnessmeanlaziness,17,true,2,reviewed_context_specific_answer,PASS,1f2445bd184fcb401372fcbcf0d8b92d57992249a8907940088799adf4b0d77b
conscientiousness-low,2,How can I become more organized in an important area without misery?,howcanibecomemoreorganizedinanimportantareawithoutmisery,23,true,1,unique_intent,PASS,1f2445bd184fcb401372fcbcf0d8b92d57992249a8907940088799adf4b0d77b
