profile_key,profile_label_zh,scenario,scenario_label_zh,expected_roles,actual_roles,status
sensitive_independent_thinker,敏锐的独立思考者,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sensitive_independent_thinker,敏锐的独立思考者,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sensitive_independent_thinker,敏锐的独立思考者,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sensitive_independent_thinker,敏锐的独立思考者,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sensitive_independent_thinker,敏锐的独立思考者,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
vigilant_perfectionist,戒备型完美主义者,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
vigilant_perfectionist,戒备型完美主义者,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
vigilant_perfectionist,戒备型完美主义者,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
vigilant_perfectionist,戒备型完美主义者,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
vigilant_perfectionist,戒备型完美主义者,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
complex_explorer_low_structure,复杂理解型探索者,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
complex_explorer_low_structure,复杂理解型探索者,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
complex_explorer_low_structure,复杂理解型探索者,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
complex_explorer_low_structure,复杂理解型探索者,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
complex_explorer_low_structure,复杂理解型探索者,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
