profile_key,profile_label_zh,section_key,asset_key,internal_combination_key,primary_couplings,top_facet_routes,status
sensitive_independent_thinker,敏锐的独立思考者,hero_summary,big5_canonical_profile_sensitive_independent_thinker_hero_summary_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
sensitive_independent_thinker,敏锐的独立思考者,domains_overview,big5_canonical_profile_sensitive_independent_thinker_domains_overview_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
sensitive_independent_thinker,敏锐的独立思考者,domain_deep_dive,big5_canonical_profile_sensitive_independent_thinker_domain_deep_dive_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
sensitive_independent_thinker,敏锐的独立思考者,facet_details,big5_canonical_profile_sensitive_independent_thinker_facet_details_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
sensitive_independent_thinker,敏锐的独立思考者,core_portrait,big5_canonical_profile_sensitive_independent_thinker_core_portrait_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
sensitive_independent_thinker,敏锐的独立思考者,norms_comparison,big5_canonical_profile_sensitive_independent_thinker_norms_comparison_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
sensitive_independent_thinker,敏锐的独立思考者,action_plan,big5_canonical_profile_sensitive_independent_thinker_action_plan_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
sensitive_independent_thinker,敏锐的独立思考者,methodology_and_access,big5_canonical_profile_sensitive_independent_thinker_methodology_and_access_v0_1,O3_C2_E2_A3_N4,n_high_x_o_mid_high|n_high_x_e_low,N1_high_reframe|N3_high_reframe|C1_high_reframe|E6_low_reframe|O4_high_reframe,PASS
vigilant_perfectionist,戒备型完美主义者,hero_summary,big5_canonical_profile_vigilant_perfectionist_hero_summary_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
vigilant_perfectionist,戒备型完美主义者,domains_overview,big5_canonical_profile_vigilant_perfectionist_domains_overview_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
vigilant_perfectionist,戒备型完美主义者,domain_deep_dive,big5_canonical_profile_vigilant_perfectionist_domain_deep_dive_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
