row_id,section,metric_level,metric_code,bucket,access_level,locale,title,body
domain_1_en,domains_overview,domain,O,low,free,en,Openness low,Your Openness percentile is {{domains.O.percentile}} ({{domains.O.bucket_label}}).
domain_1_zh,domains_overview,domain,O,low,free,zh-CN,开放性low,你的开放性百分位为 {{domains.O.percentile}}（{{domains.O.bucket_label}}）。
domain_2_en,domains_overview,domain,O,mid,free,en,Openness mid,Your Openness percentile is {{domains.O.percentile}} ({{domains.O.bucket_label}}).
domain_2_zh,domains_overview,domain,O,mid,free,zh-CN,开放性mid,你的开放性百分位为 {{domains.O.percentile}}（{{domains.O.bucket_label}}）。
domain_3_en,domains_overview,domain,O,high,free,en,Openness high,Your Openness percentile is {{domains.O.percentile}} ({{domains.O.bucket_label}}).
domain_3_zh,domains_overview,domain,O,high,free,zh-CN,开放性high,你的开放性百分位为 {{domains.O.percentile}}（{{domains.O.bucket_label}}）。
domain_4_en,domains_overview,domain,C,low,free,en,Conscientiousness low,Your Conscientiousness percentile is {{domains.C.percentile}} ({{domains.C.bucket_label}}).
domain_4_zh,domains_overview,domain,C,low,free,zh-CN,尽责性low,你的尽责性百分位为 {{domains.C.percentile}}（{{domains.C.bucket_label}}）。
domain_5_en,domains_overview,domain,C,mid,free,en,Conscientiousness mid,Your Conscientiousness percentile is {{domains.C.percentile}} ({{domains.C.bucket_label}}).
domain_5_zh,domains_overview,domain,C,mid,free,zh-CN,尽责性mid,你的尽责性百分位为 {{domains.C.percentile}}（{{domains.C.bucket_label}}）。
domain_6_en,domains_overview,domain,C,high,free,en,Conscientiousness high,Your Conscientiousness percentile is {{domains.C.percentile}} ({{domains.C.bucket_label}}).
domain_6_zh,domains_overview,domain,C,high,free,zh-CN,尽责性high,你的尽责性百分位为 {{domains.C.percentile}}（{{domains.C.bucket_label}}）。
domain_7_en,domains_overview,domain,E,low,free,en,Extraversion low,Your Extraversion percentile is {{domains.E.percentile}} ({{domains.E.bucket_label}}).
domain_7_zh,domains_overview,domain,E,low,free,zh-CN,外向性low,你的外向性百分位为 {{domains.E.percentile}}（{{domains.E.bucket_label}}）。
domain_8_en,domains_overview,domain,E,mid,free,en,Extraversion mid,Your Extraversion percentile is {{domains.E.percentile}} ({{domains.E.bucket_label}}).
domain_8_zh,domains_overview,domain,E,mid,free,zh-CN,外向性mid,你的外向性百分位为 {{domains.E.percentile}}（{{domains.E.bucket_label}}）。
domain_9_en,domains_overview,domain,E,high,free,en,Extraversion high,Your Extraversion percentile is {{domains.E.percentile}} ({{domains.E.bucket_label}}).
domain_9_zh,domains_overview,domain,E,high,free,zh-CN,外向性high,你的外向性百分位为 {{domains.E.percentile}}（{{domains.E.bucket_label}}）。
domain_10_en,domains_overview,domain,A,low,free,en,Agreeableness low,Your Agreeableness percentile is {{domains.A.percentile}} ({{domains.A.bucket_label}}).
domain_10_zh,domains_overview,domain,A,low,free,zh-CN,宜人性low,你的宜人性百分位为 {{domains.A.percentile}}（{{domains.A.bucket_label}}）。
domain_11_en,domains_overview,domain,A,mid,free,en,Agreeableness mid,Your Agreeableness percentile is {{domains.A.percentile}} ({{domains.A.bucket_label}}).
domain_11_zh,domains_overview,domain,A,mid,free,zh-CN,宜人性mid,你的宜人性百分位为 {{domains.A.percentile}}（{{domains.A.bucket_label}}）。
domain_12_en,domains_overview,domain,A,high,free,en,Agreeableness high,Your Agreeableness percentile is {{domains.A.percentile}} ({{domains.A.bucket_label}}).
domain_12_zh,domains_overview,domain,A,high,free,zh-CN,宜人性high,你的宜人性百分位为 {{domains.A.percentile}}（{{domains.A.bucket_label}}）。
domain_13_en,domains_overview,domain,N,low,free,en,Neuroticism low,Your Neuroticism percentile is {{domains.N.percentile}} ({{domains.N.bucket_label}}).
domain_13_zh,domains_overview,domain,N,low,free,zh-CN,神经质low,你的神经质百分位为 {{domains.N.percentile}}（{{domains.N.bucket_label}}）。
domain_14_en,domains_overview,domain,N,mid,free,en,Neuroticism mid,Your Neuroticism percentile is {{domains.N.percentile}} ({{domains.N.bucket_label}}).
domain_14_zh,domains_overview,domain,N,mid,free,zh-CN,神经质mid,你的神经质百分位为 {{domains.N.percentile}}（{{domains.N.bucket_label}}）。
domain_15_en,domains_overview,domain,N,high,free,en,Neuroticism high,Your Neuroticism percentile is {{domains.N.percentile}} ({{domains.N.bucket_label}}).
domain_15_zh,domains_overview,domain,N,high,free,zh-CN,神经质high,你的神经质百分位为 {{domains.N.percentile}}（{{domains.N.bucket_label}}）。
facet_top_N1_low_en,top_facets,facet,N1,low,paid,en,Anxiety low,Anxiety is low ({{facets.N1.percentile}}th percentile).
facet_top_N1_low_zh,top_facets,facet,N1,low,paid,zh-CN,焦虑 low,焦虑处于low区间（百分位 {{facets.N1.percentile}}）。
facet_deep_N1_low_en,facets_deepdive,facet,N1,low,paid,en,Anxiety low,Detailed insight: Anxiety is low ({{facets.N1.percentile}}th percentile).
facet_deep_N1_low_zh,facets_deepdive,facet,N1,low,paid,zh-CN,焦虑 low,深入解读：焦虑处于low区间（百分位 {{facets.N1.percentile}}）。
facet_top_N1_high_en,top_facets,facet,N1,high,paid,en,Anxiety high,Anxiety is high ({{facets.N1.percentile}}th percentile).
facet_top_N1_high_zh,top_facets,facet,N1,high,paid,zh-CN,焦虑 high,焦虑处于high区间（百分位 {{facets.N1.percentile}}）。
facet_deep_N1_high_en,facets_deepdive,facet,N1,high,paid,en,Anxiety high,Detailed insight: Anxiety is high ({{facets.N1.percentile}}th percentile).
facet_deep_N1_high_zh,facets_deepdive,facet,N1,high,paid,zh-CN,焦虑 high,深入解读：焦虑处于high区间（百分位 {{facets.N1.percentile}}）。
facet_top_N2_low_en,top_facets,facet,N2,low,paid,en,Anger low,Anger is low ({{facets.N2.percentile}}th percentile).
facet_top_N2_low_zh,top_facets,facet,N2,low,paid,zh-CN,愤怒 low,愤怒处于low区间（百分位 {{facets.N2.percentile}}）。
facet_deep_N2_low_en,facets_deepdive,facet,N2,low,paid,en,Anger low,Detailed insight: Anger is low ({{facets.N2.percentile}}th percentile).
facet_deep_N2_low_zh,facets_deepdive,facet,N2,low,paid,zh-CN,愤怒 low,深入解读：愤怒处于low区间（百分位 {{facets.N2.percentile}}）。
facet_top_N2_high_en,top_facets,facet,N2,high,paid,en,Anger high,Anger is high ({{facets.N2.percentile}}th percentile).
