question_id,module_code,options_set_code,is_reverse,text_zh
1,M1,M1_FREQ_2W,0,"在过去的两周里，做什么事都提不起劲，或对任何事都失去兴趣。"
2,M1,M1_FREQ_2W,0,"在过去的两周里，感到心情低落、沮丧，或感到绝望。"
3,M1,M1_FREQ_2W,0,"在过去的两周里，入睡困难、睡不安稳，或睡眠明显过多。"
4,M1,M1_FREQ_2W,0,"在过去的两周里，感到疲惫，或缺少精力。"
5,M1,M1_FREQ_2W,0,"在过去的两周里，食欲明显下降，或进食明显增多。"
6,M1,M1_FREQ_2W,0,"在过去的两周里，觉得自己很糟糕、很失败，或觉得自己让家人失望了。"
7,M1,M1_FREQ_2W,0,"在过去的两周里，难以集中注意力（如阅读、工作、看视频时经常分心）。"
8,M1,M1_FREQ_2W,0,"在过去的两周里，行动或说话变慢到他人能察觉；或变得异常烦躁、坐立不安。"
9,M1,M1_FREQ_2W,0,"在过去的两周里，出现过“不如消失/死掉算了”或想伤害自己的念头。"
10,M1,M1_FREQ_2W,0,"在过去的两周里，感到紧张、焦虑或急切。"
11,M1,M1_FREQ_2W,0,"在过去的两周里，担忧一旦开始就停不下来，或难以控制。"
12,M1,M1_FREQ_2W,0,"在过去的两周里，对很多不同的事情担忧过多。"
13,M1,M1_FREQ_2W,0,"在过去的两周里，很难让自己放松下来。"
14,M1,M1_FREQ_2W,0,"在过去的两周里，烦躁到很难安静地坐着。"
15,M1,M1_FREQ_2W,0,"在过去的两周里，变得容易恼火或易激惹。"
16,M1,M1_FREQ_2W,0,"在过去的两周里，害怕会发生糟糕的事情、心里发慌。"
17,M2,M2_FREQ_1M,0,"过去一个月里，我感到无法控制生活中重要的事情。"
18,M2,M2_FREQ_1M,1,"过去一个月里，我对处理个人问题的能力感到有把握。"
19,M2,M2_FREQ_1M,1,"过去一个月里，我感觉事情正朝着我希望的方向发展。"
20,M2,M2_FREQ_1M,0,"过去一个月里，我觉得困难堆积如山、难以克服。"
21,M2,M2_FREQ_1M,0,"我能适应生活中的变化。"
22,M2,M2_FREQ_1M,0,"我能应对发生在我身上的各种突发事件。"
23,M2,M2_FREQ_1M,0,"我尽量看到事情积极或有趣的一面。"
24,M2,M2_FREQ_1M,0,"应对压力能让我变得更强大。"
25,M2,M2_FREQ_1M,0,"遇到挫折后，我能较快恢复到正常状态。"
26,M2,M2_FREQ_1M,0,"即使遇到障碍，我也能继续推进并达成目标。"
27,M2,M2_FREQ_1M,0,"在压力下，我依然能保持专注并清晰思考。"
28,M2,M2_FREQ_1M,0,"我不会轻易被失败击垮。"
29,M2,M2_FREQ_1M,0,"我认为自己是一个坚强的人。"
30,M2,M2_FREQ_1M,0,"我能妥善处理自己不舒服的情绪。"
31,M3,M3_AGREE_1_5,0,"我的父母曾给我定下很高的标准。"
32,M3,M3_AGREE_1_5,0,"做事有条理、有系统对我很重要。"
33,M3,M3_AGREE_1_5,0,"如果我不把标准定到最高，我会觉得自己很差劲。"
34,M3,M3_AGREE_1_5,0,"我更喜欢整洁、有序的环境。"
35,M3,M3_AGREE_1_5,0,"我会刻意让自己的做事方式更有条理。"
36,M3,M3_AGREE_1_5,0,"工作或学习失败时，我会把它解读为“我这个人很失败”。"
