package_key,ready_for_asset_review,ready_for_pilot,ready_for_runtime,ready_for_production,runtime_use,production_use_allowed,required_next_qa,blocking_reasons
B5-CONTENT-0,True,False,False,False,not_runtime,False,"[""schema consistency QA"", ""package checksum QA""]","[""governance only; not runtime content""]"
B5-A-lite,True,False,False,False,not_runtime,False,"[""source authority QA"", ""mapping QA""]","[""governance only; not runtime content""]"
B5-B1-O59-core-body,True,False,False,False,staging_only,False,"[""rendered preview QA"", ""safety QA"", ""editorial QA""]","[""rendered preview execution not passed"", ""not generalized to all users""]"
B5-B1-Preview,True,False,False,False,not_runtime,False,"[""actual fap-web rendered preview execution""]","[""definitions only; no rendered execution yet""]"
B5-B1-Preview-Codex-Handoff,True,False,False,False,not_runtime,False,"[""Codex fap-web execution"", ""pending surface accounting""]","[""handoff only; no test execution yet""]"
B5-CONTENT-1,True,False,False,False,staging_only,False,"[""asset review"", ""rendered preview when selected""]","[""not imported"", ""not rendered QA passed""]"
B5-CONTENT-2,True,False,False,False,staging_only,False,"[""asset review"", ""reference consistency QA""]","[""not rendered QA passed""]"
B5-CONTENT-3,True,False,False,False,staging_only,False,"[""facet inference boundary QA"", ""rendered facet preview QA""]","[""not rendered QA passed""]"
B5-CONTENT-4,True,False,False,False,staging_only,False,"[""profile label safety QA"", ""route consistency QA""]","[""not rendered QA passed"", ""not runtime mapping approved""]"
B5-CONTENT-5,True,False,False,False,staging_only,False,"[""share safety QA"", ""surface-level action QA""]","[""not rendered QA passed"", ""not scenario selector approved""]"
B5-CONTENT-6,True,False,False,False,staging_only,False,"[""route reference consistency QA"", ""semantic consistency QA"", ""rendered preview of representative rows""]","[""route matrix not connected"", ""selector QA not passed""]"
selector-ready-assets-v0.3-p0-full,True,False,False,False,staging_only,False,"[""reference consistency with B5-CONTENT-1~6"", ""coverage warning review"", ""rendered regression QA""]","[""runtime_ready=false"", ""known coverage warnings"", ""not reconciled with B5-CONTENT-1~6""]"
selector-qa-policy-v0.1,False,False,False,False,staging_only,False,"[""add O59 production canonical case"", ""fix golden_group"", ""fix slot naming"", ""expand banned terms""]","[""missing O59 canonical case"", ""golden_group missing"", ""slot/module naming drift"", ""banned scan incomplete""]"
