metric_type,key,count,status
o_shard,O1,625,PASS
o_shard,O2,625,PASS
o_shard,O3,625,PASS
o_shard,O4,625,PASS
o_shard,O5,625,PASS
canonical_profile_usage,generic_band_route,2759,PASS
canonical_profile_usage,nearest_route_only,332,PASS
canonical_profile_usage,direct_profile_route,34,PASS
profile_family,quiet_deep_worker,413,PASS
profile_family,sensitive_independent_thinker,494,PASS
profile_family,overloaded_internalizer,359,PASS
profile_family,orderly_supporter,298,PASS
profile_family,complex_explorer_low_structure,501,PASS
profile_family,connective_coordinator,368,PASS
profile_family,sharp_exploratory_driver,332,PASS
profile_family,vigilant_perfectionist,360,PASS
interpretation_scope,balanced_or_diffuse,125,PASS
interpretation_scope,clear_signature,291,PASS
interpretation_scope,high_tension_or_mixed,2709,PASS
tension_level,low,86,PASS
tension_level,medium,414,PASS
tension_level,high,1157,PASS
tension_level,very_high,1468,PASS
