asset_key,profile_key,scenario,scenario_role,module_key,section_key,slot_key,status,findings
b5_content_5_sensitive_independent_thinker__workplace__scenario_core_pattern_v0_1,sensitive_independent_thinker,workplace,scenario_core_pattern,module_06_application_matrix,action_plan,scenario.workplace.core_pattern,PASS,
b5_content_5_sensitive_independent_thinker__workplace__scenario_strength_and_risk_v0_1,sensitive_independent_thinker,workplace,scenario_strength_and_risk,module_06_application_matrix,action_plan,scenario.workplace.strength_and_risk,PASS,
b5_content_5_sensitive_independent_thinker__workplace__scenario_action_protocol_v0_1,sensitive_independent_thinker,workplace,scenario_action_protocol,module_06_application_matrix,action_plan,scenario.workplace.action_protocol,PASS,
b5_content_5_sensitive_independent_thinker__workplace__scenario_misread_and_repair_v0_1,sensitive_independent_thinker,workplace,scenario_misread_and_repair,module_06_application_matrix,action_plan,scenario.workplace.misread_and_repair,PASS,
b5_content_5_sensitive_independent_thinker__relationships__scenario_core_pattern_v0_1,sensitive_independent_thinker,relationships,scenario_core_pattern,module_06_application_matrix,action_plan,scenario.relationships.core_pattern,PASS,
b5_content_5_sensitive_independent_thinker__relationships__scenario_strength_and_risk_v0_1,sensitive_independent_thinker,relationships,scenario_strength_and_risk,module_06_application_matrix,action_plan,scenario.relationships.strength_and_risk,PASS,
b5_content_5_sensitive_independent_thinker__relationships__scenario_action_protocol_v0_1,sensitive_independent_thinker,relationships,scenario_action_protocol,module_06_application_matrix,action_plan,scenario.relationships.action_protocol,PASS,
b5_content_5_sensitive_independent_thinker__relationships__scenario_misread_and_repair_v0_1,sensitive_independent_thinker,relationships,scenario_misread_and_repair,module_06_application_matrix,action_plan,scenario.relationships.misread_and_repair,PASS,
b5_content_5_sensitive_independent_thinker__stress_recovery__scenario_core_pattern_v0_1,sensitive_independent_thinker,stress_recovery,scenario_core_pattern,module_06_application_matrix,action_plan,scenario.stress_recovery.core_pattern,PASS,
b5_content_5_sensitive_independent_thinker__stress_recovery__scenario_strength_and_risk_v0_1,sensitive_independent_thinker,stress_recovery,scenario_strength_and_risk,module_06_application_matrix,action_plan,scenario.stress_recovery.strength_and_risk,PASS,
b5_content_5_sensitive_independent_thinker__stress_recovery__scenario_action_protocol_v0_1,sensitive_independent_thinker,stress_recovery,scenario_action_protocol,module_06_application_matrix,action_plan,scenario.stress_recovery.action_protocol,PASS,
b5_content_5_sensitive_independent_thinker__stress_recovery__scenario_misread_and_repair_v0_1,sensitive_independent_thinker,stress_recovery,scenario_misread_and_repair,module_06_application_matrix,action_plan,scenario.stress_recovery.misread_and_repair,PASS,
b5_content_5_sensitive_independent_thinker__personal_growth__scenario_core_pattern_v0_1,sensitive_independent_thinker,personal_growth,scenario_core_pattern,module_06_application_matrix,action_plan,scenario.personal_growth.core_pattern,PASS,
b5_content_5_sensitive_independent_thinker__personal_growth__scenario_strength_and_risk_v0_1,sensitive_independent_thinker,personal_growth,scenario_strength_and_risk,module_06_application_matrix,action_plan,scenario.personal_growth.strength_and_risk,PASS,
b5_content_5_sensitive_independent_thinker__personal_growth__scenario_action_protocol_v0_1,sensitive_independent_thinker,personal_growth,scenario_action_protocol,module_06_application_matrix,action_plan,scenario.personal_growth.action_protocol,PASS,
b5_content_5_sensitive_independent_thinker__personal_growth__scenario_misread_and_repair_v0_1,sensitive_independent_thinker,personal_growth,scenario_misread_and_repair,module_06_application_matrix,action_plan,scenario.personal_growth.misread_and_repair,PASS,
b5_content_5_sensitive_independent_thinker__collaboration__scenario_core_pattern_v0_1,sensitive_independent_thinker,collaboration,scenario_core_pattern,module_07_collaboration_manual,action_plan,scenario.collaboration.core_pattern,PASS,
b5_content_5_sensitive_independent_thinker__collaboration__scenario_strength_and_risk_v0_1,sensitive_independent_thinker,collaboration,scenario_strength_and_risk,module_07_collaboration_manual,action_plan,scenario.collaboration.strength_and_risk,PASS,
b5_content_5_sensitive_independent_thinker__collaboration__scenario_action_protocol_v0_1,sensitive_independent_thinker,collaboration,scenario_action_protocol,module_07_collaboration_manual,action_plan,scenario.collaboration.action_protocol,PASS,
b5_content_5_sensitive_independent_thinker__collaboration__scenario_misread_and_repair_v0_1,sensitive_independent_thinker,collaboration,scenario_misread_and_repair,module_07_collaboration_manual,action_plan,scenario.collaboration.misread_and_repair,PASS,
b5_content_5_vigilant_perfectionist__workplace__scenario_core_pattern_v0_1,vigilant_perfectionist,workplace,scenario_core_pattern,module_06_application_matrix,action_plan,scenario.workplace.core_pattern,PASS,
b5_content_5_vigilant_perfectionist__workplace__scenario_strength_and_risk_v0_1,vigilant_perfectionist,workplace,scenario_strength_and_risk,module_06_application_matrix,action_plan,scenario.workplace.strength_and_risk,PASS,
b5_content_5_vigilant_perfectionist__workplace__scenario_action_protocol_v0_1,vigilant_perfectionist,workplace,scenario_action_protocol,module_06_application_matrix,action_plan,scenario.workplace.action_protocol,PASS,
b5_content_5_vigilant_perfectionist__workplace__scenario_misread_and_repair_v0_1,vigilant_perfectionist,workplace,scenario_misread_and_repair,module_06_application_matrix,action_plan,scenario.workplace.misread_and_repair,PASS,
b5_content_5_vigilant_perfectionist__relationships__scenario_core_pattern_v0_1,vigilant_perfectionist,relationships,scenario_core_pattern,module_06_application_matrix,action_plan,scenario.relationships.core_pattern,PASS,
b5_content_5_vigilant_perfectionist__relationships__scenario_strength_and_risk_v0_1,vigilant_perfectionist,relationships,scenario_strength_and_risk,module_06_application_matrix,action_plan,scenario.relationships.strength_and_risk,PASS,
b5_content_5_vigilant_perfectionist__relationships__scenario_action_protocol_v0_1,vigilant_perfectionist,relationships,scenario_action_protocol,module_06_application_matrix,action_plan,scenario.relationships.action_protocol,PASS,
b5_content_5_vigilant_perfectionist__relationships__scenario_misread_and_repair_v0_1,vigilant_perfectionist,relationships,scenario_misread_and_repair,module_06_application_matrix,action_plan,scenario.relationships.misread_and_repair,PASS,
