locale,code_a,code_b,similarity
en,high-neuroticism,emotional-stability,0.713
en,high-extraversion,low-extraversion,0.705
en,high-conscientiousness,high-neuroticism,0.682
en,low-openness,low-agreeableness,0.675
en,low-openness,high-conscientiousness,0.674
en,high-agreeableness,high-neuroticism,0.67
en,low-openness,low-extraversion,0.667
en,high-agreeableness,low-agreeableness,0.665
en,low-extraversion,low-agreeableness,0.663
en,low-extraversion,high-neuroticism,0.662
en,low-openness,low-conscientiousness,0.659
en,low-conscientiousness,high-extraversion,0.659
en,low-conscientiousness,low-extraversion,0.659
en,high-openness,low-openness,0.657
en,high-extraversion,high-agreeableness,0.657
en,high-extraversion,low-agreeableness,0.657
en,high-conscientiousness,low-extraversion,0.656
en,high-conscientiousness,high-extraversion,0.655
en,high-extraversion,high-neuroticism,0.655
en,low-openness,high-extraversion,0.654
en,low-openness,emotional-stability,0.654
en,high-conscientiousness,low-conscientiousness,0.654
en,low-conscientiousness,high-neuroticism,0.654
en,low-extraversion,emotional-stability,0.654
en,high-openness,high-conscientiousness,0.652
en,high-conscientiousness,high-agreeableness,0.652
en,high-conscientiousness,low-agreeableness,0.652
en,low-agreeableness,high-neuroticism,0.652
en,low-openness,high-neuroticism,0.649
en,low-conscientiousness,low-agreeableness,0.649
en,high-extraversion,emotional-stability,0.648
en,high-openness,high-neuroticism,0.646
en,high-openness,high-extraversion,0.644
en,low-openness,high-agreeableness,0.644
en,low-conscientiousness,high-agreeableness,0.643
en,low-conscientiousness,emotional-stability,0.641
en,high-agreeableness,emotional-stability,0.639
en,high-openness,low-conscientiousness,0.637
en,high-conscientiousness,emotional-stability,0.637
en,high-openness,high-agreeableness,0.635
en,low-extraversion,high-agreeableness,0.633
en,low-agreeableness,emotional-stability,0.633
en,high-openness,low-extraversion,0.627
en,high-openness,low-agreeableness,0.623
en,high-openness,emotional-stability,0.615
zh-CN,high-extraversion,low-extraversion,0.513
zh-CN,high-neuroticism,emotional-stability,0.512
zh-CN,high-conscientiousness,low-conscientiousness,0.509
en,agreeableness,neuroticism,0.508
en,extraversion,neuroticism,0.504
en,extraversion,agreeableness,0.503
zh-CN,high-agreeableness,low-agreeableness,0.5
zh-CN,high-openness,low-openness,0.492
en,openness,extraversion,0.491
en,openness,neuroticism,0.491
en,openness,conscientiousness,0.486
en,conscientiousness,neuroticism,0.486
en,conscientiousness,agreeableness,0.484
zh-CN,low-openness,low-conscientiousness,0.479
zh-CN,low-openness,high-extraversion,0.479
zh-CN,low-openness,low-extraversion,0.479
zh-CN,low-openness,high-agreeableness,0.479
en,openness,agreeableness,0.477
en,conscientiousness,extraversion,0.477
zh-CN,low-openness,high-conscientiousness,0.475
zh-CN,low-conscientiousness,high-extraversion,0.475
zh-CN,low-conscientiousness,low-extraversion,0.475
zh-CN,low-conscientiousness,high-agreeableness,0.475
zh-CN,high-extraversion,high-agreeableness,0.475
zh-CN,low-extraversion,high-agreeableness,0.475
zh-CN,high-conscientiousness,high-extraversion,0.471
zh-CN,high-conscientiousness,low-extraversion,0.471
zh-CN,high-conscientiousness,high-agreeableness,0.471
zh-CN,low-openness,low-agreeableness,0.467
zh-CN,low-conscientiousness,low-agreeableness,0.463
zh-CN,high-extraversion,low-agreeableness,0.463
zh-CN,low-extraversion,low-agreeableness,0.463
zh-CN,high-conscientiousness,low-agreeableness,0.459
zh-CN,high-openness,low-conscientiousness,0.452
zh-CN,high-openness,high-extraversion,0.452
zh-CN,high-openness,low-extraversion,0.452
zh-CN,high-openness,high-agreeableness,0.452
zh-CN,low-openness,high-neuroticism,0.452
zh-CN,high-openness,high-conscientiousness,0.448
zh-CN,low-openness,emotional-stability,0.448
zh-CN,low-conscientiousness,high-neuroticism,0.448
zh-CN,high-extraversion,high-neuroticism,0.448
zh-CN,low-extraversion,high-neuroticism,0.448
zh-CN,high-agreeableness,high-neuroticism,0.448
zh-CN,high-conscientiousness,high-neuroticism,0.444
zh-CN,low-conscientiousness,emotional-stability,0.444
zh-CN,high-extraversion,emotional-stability,0.444
zh-CN,low-extraversion,emotional-stability,0.444
zh-CN,high-agreeableness,emotional-stability,0.444
zh-CN,high-openness,low-agreeableness,0.441
zh-CN,high-conscientiousness,emotional-stability,0.441
zh-CN,low-agreeableness,high-neuroticism,0.438
zh-CN,low-agreeableness,emotional-stability,0.434
zh-CN,high-openness,high-neuroticism,0.427
zh-CN,high-openness,emotional-stability,0.424
en,agreeableness,high-agreeableness,0.41
en,neuroticism,high-neuroticism,0.408
zh-CN,openness,extraversion,0.403
en,agreeableness,low-agreeableness,0.402
en,extraversion,low-extraversion,0.399
en,neuroticism,emotional-stability,0.395
zh-CN,extraversion,agreeableness,0.392
zh-CN,conscientiousness,extraversion,0.391
zh-CN,openness,agreeableness,0.387
zh-CN,openness,conscientiousness,0.386
zh-CN,conscientiousness,agreeableness,0.385
en,extraversion,high-extraversion,0.384
zh-CN,conscientiousness,neuroticism,0.383
en,openness,low-openness,0.382
zh-CN,extraversion,neuroticism,0.381
en,openness,high-openness,0.377
zh-CN,openness,neuroticism,0.377
zh-CN,agreeableness,neuroticism,0.375
en,agreeableness,high-neuroticism,0.365
en,conscientiousness,high-conscientiousness,0.36
en,agreeableness,emotional-stability,0.36
en,agreeableness,low-openness,0.358
en,agreeableness,low-conscientiousness,0.358
en,agreeableness,low-extraversion,0.356
en,agreeableness,high-conscientiousness,0.355
en,conscientiousness,low-conscientiousness,0.352
en,neuroticism,low-openness,0.352
en,neuroticism,high-agreeableness,0.352
en,neuroticism,low-extraversion,0.351
en,agreeableness,high-extraversion,0.35
en,neuroticism,high-conscientiousness,0.35
