coverage_type,key,expected_count,actual_count,status
profile,sensitive_independent_thinker,20,20,PASS
profile,vigilant_perfectionist,20,20,PASS
profile,complex_explorer_low_structure,20,20,PASS
profile,quiet_deep_worker,20,20,PASS
profile,connective_coordinator,20,20,PASS
profile,sharp_exploratory_driver,20,20,PASS
profile,orderly_supporter,20,20,PASS
profile,overloaded_internalizer,20,20,PASS
scenario,workplace,32,32,PASS
scenario,relationships,32,32,PASS
scenario,stress_recovery,32,32,PASS
scenario,personal_growth,32,32,PASS
scenario,collaboration,32,32,PASS
asset_role,scenario_core_pattern,40,40,PASS
asset_role,scenario_strength_and_risk,40,40,PASS
asset_role,scenario_action_protocol,40,40,PASS
asset_role,scenario_misread_and_repair,40,40,PASS
