id,block,risk,issue_type,layer,file_path,line,asset_id,selector_id,slot_key,registry_key,field,evidence,recommended_fix
B5-METHOD_BOUNDARY-0001,method_boundary,P0,clinical_or_high_stakes_claim,content_asset,content_assets/big5/result_page_v2/agent_runs/method_boundary_v0_5_normalized/content_asset_candidates.jsonl,4,candidate_content_method_boundary_v0_5_04,,module_10_method_privacy.method.facet_method,,body_zh,五个大维度下面各有更细的面向。它们能解释为什么同样是一个维度，有人表现为条理清楚，有人表现为责任感强，也有人主要体现在行动持续性上。细分面向的价值，是把一个宽泛维度拆开看；它的边界，是不能脱离整体结构单独下结论。一个细分...,"Big Five result content must not become clinical, hiring, income, success, or partner-matching advice."
B5-METHOD_BOUNDARY-0002,method_boundary,P1,overprescriptive_action,content_asset,content_assets/big5/result_page_v2/agent_runs/method_boundary_v0_5_normalized/content_asset_candidates.jsonl,5,candidate_content_method_boundary_v0_5_05,,module_10_method_privacy.method.facet_method,,body_zh,人格特质不是整齐的方块。一个人在尽责性上可能整体偏稳定，但条理、责任感、目标推进、持续性和谨慎决策并不一定同时突出。大维度像总览图，细分面向像局部放大。两者不一致时，最合理的读法是：先保留大维度的方向，再用细分面向寻找具...,"Action advice should be low-risk, optional, and non-prescriptive."
B5-METHOD_BOUNDARY-0003,method_boundary,P1,percentile_rank_precision,content_asset,content_assets/big5/result_page_v2/agent_runs/method_boundary_v0_5_normalized/content_asset_candidates.jsonl,6,candidate_content_method_boundary_v0_5_06,,module_10_method_privacy.method.norm_method,,body_zh,结果中的相对参照不是永远同一种强度。第一种情况是参照充分，报告可以更稳地解释某个倾向在样本中的位置。第二种情况是参照有限，报告可以保留方向判断，但要弱化精确比较。第三种情况是暂无可靠参照，此时仍可以读五维结构、细分面向和...,Percentile/norm wording must avoid exact rank implications.
B5-METHOD_BOUNDARY-0004,method_boundary,P1,quality_warning_spread,content_asset,content_assets/big5/result_page_v2/agent_runs/method_boundary_v0_5_normalized/content_asset_candidates.jsonl,8,candidate_content_method_boundary_v0_5_08,,module_10_method_privacy.boundary.low_quality_boundary,,short_body_zh,低质量不等于用户有问题，只表示这次结果不适合承载太强的解释。,Quality warnings should be conditional and not spread into normal-result copy.
B5-METHOD_BOUNDARY-0005,method_boundary,P1,overprescriptive_action,content_asset,content_assets/big5/result_page_v2/agent_runs/method_boundary_v0_5_normalized/content_asset_candidates.jsonl,11,candidate_content_method_boundary_v0_5_11,,module_10_method_privacy.boundary.non_screening_boundary,,body_zh,在组织场景中，大五结果有一个安全用途：帮助成员说明自己如何接收反馈、如何进入任务、在压力下需要什么支持。它不适合承担人事裁决功能。一个人的工作表现来自技能、经验、资源、管理方式和环境，不是由人格倾向单独决定。把测评用于沟...,"Action advice should be low-risk, optional, and non-prescriptive."
B5-METHOD_BOUNDARY-0006,method_boundary,P1,overprescriptive_action,content_asset,content_assets/big5/result_page_v2/agent_runs/method_boundary_v0_5_normalized/content_asset_candidates.jsonl,12,candidate_content_method_boundary_v0_5_12,,module_10_method_privacy.boundary.non_clinical_prediction_boundary,,body_zh,大五测评描述的是相对稳定的特质倾向，不是当下心理状态监测，也不是对未来结果的保证。它不能替代医疗或心理健康专业判断，不能决定一个人会不会成功、收入会怎样、关系能不能持续，也不能告诉你谁一定适合谁。真实人生由能力、资源、健...,"Action advice should be low-risk, optional, and non-prescriptive."
B5-METHOD_BOUNDARY-0007,method_boundary,P1,overprescriptive_action,content_asset,content_assets/big5/result_page_v2/agent_runs/method_boundary_v0_5_normalized/content_asset_candidates.jsonl,14,candidate_content_method_boundary_v0_5_14,,module_10_method_privacy.method.review_method,,body_zh,深度阅读不是把结论说得更满，而是把证据分层。五个大维度通常更适合做结构判断；细分面向更适合解释差异；双维组合能提示张力和资源；场景建议则需要回到用户自己的生活中检验。好的深度报告不应该让你更依赖一个标签，而应该让你更清楚...,"Action advice should be low-risk, optional, and non-prescriptive."
B5-DOMAIN_BANDS-0008,domain_bands,P2,ai_tone_marker,content_asset,content_assets/big5/result_page_v2/agent_runs/domain_bands_revised_v0_3_normalized/content_asset_candidates.jsonl,2,candidate_content_domain_bands_content_thickening_o_low_v0_1,,domain_deep_dive.O.low,,body_zh,开放性偏低时，你不是没有好奇心，而是更习惯先看一件事能不能落地。学习新领域时，你可能会先找清晰框架；工作中，你会问新流程到底解决什么问题；关系里，你对过于跳跃的表达可能需要更多解释。优势是能过滤噪音，不容易把精力花在漂亮...,Remove generic AI/report-template phrasing where user-visible.
B5-DOMAIN_BANDS-0009,domain_bands,P2,ai_tone_marker,content_asset,content_assets/big5/result_page_v2/agent_runs/domain_bands_revised_v0_3_normalized/content_asset_candidates.jsonl,3,candidate_content_domain_bands_content_thickening_o_mid_v0_1,,domain_deep_dive.O.mid,,summary_zh,你能理解新视角，也会检查它是否有解释力和落地价值。,Remove generic AI/report-template phrasing where user-visible.
B5-DOMAIN_BANDS-0010,domain_bands,P2,ai_tone_marker,content_asset,content_assets/big5/result_page_v2/agent_runs/domain_bands_revised_v0_3_normalized/content_asset_candidates.jsonl,4,candidate_content_domain_bands_content_thickening_o_high_v0_1,,domain_deep_dive.O.high,,body_zh,开放性偏高时，你往往不满足于表面答案。学习中，你会想知道一个知识背后的结构；工作中，你容易提出替代方案、发现隐藏变量；关系里，你也可能更愿意理解对方复杂的动机和感受。优势是想象力、跨界联想和审美敏感度更容易被调动。摩擦在...,Remove generic AI/report-template phrasing where user-visible.
