page_identity,title_unique,seo_title_unique,seo_description_unique,answer_first,h1_count,h2_count,faq_question_style,en_us_spelling,keyword_stuffing_flag,status,page_sha256
big-five-hub,true,true,true,true,1,20,true,true,true,FAIL,d18ff9f1db2bd28ec743261a982d5931c3888cfc5c74b6b49649908e2608f173
openness,true,true,true,true,1,16,true,true,false,PASS,1bf7c93bf7c62cf0149664fc90f4399a4a0678bf8f44587cf090a34dbda20614
conscientiousness,true,true,true,true,1,16,true,true,false,PASS,9740bff0d6cb4a0908cc2759912e5393da565e0aaef682f6669f75f90cefba8c
extraversion,true,true,true,true,1,16,true,true,false,PASS,df620a7582b50c924d698de33efd0faf550b0f7ce9dcf7157c396042898c0263
agreeableness,true,true,true,true,1,16,true,true,false,PASS,de0d087a75da947a3085b203792b41c18f00688b8fa68715af55530054dcdd97
neuroticism,true,true,true,true,1,16,true,true,false,PASS,eb467ba0526684d24597ab51ac0771317092d9815b584f31601ac3ff329766a3
openness-high,true,true,true,true,1,15,true,true,false,PASS,0b4d43c5967ce80c6417cf863d69dbdb1710b2a1990d2776d64a2abb840155dd
openness-mid,true,true,true,true,1,15,true,true,false,PASS,471ae2e1616cb4dbdd320267085b95f04f8800bde84b0590f33953341da44fe8
openness-low,true,true,true,true,1,15,true,true,false,PASS,176e34837a0693c765f117a13b56cabc902d023b86eafdbfeaeb6c815ac9aef7
conscientiousness-high,true,true,true,true,1,15,true,true,false,PASS,42c7873d0b844b18998ef459f9e05fc79fc2a9b8533ba95e602d25fa6d0b05f1
conscientiousness-mid,true,true,true,true,1,15,true,true,false,PASS,68e6e5bbf4f608bd402531e81d3d22cdee22f1d137423f84a588d22675f59d0f
conscientiousness-low,true,true,true,true,1,15,true,true,false,PASS,1f2445bd184fcb401372fcbcf0d8b92d57992249a8907940088799adf4b0d77b
extraversion-high,true,true,true,true,1,15,true,true,false,PASS,14504ea72cbbd823216adfbd60f026e4760bd81cecefbe2ee96e88b3e0678d8d
extraversion-mid,true,true,true,true,1,15,true,true,false,PASS,3c015f80a939fddb6f29af5631b47962b4af2a332f09fe99a6db2756d474c6fc
extraversion-low,true,true,true,true,1,15,true,true,false,PASS,d17252b0fafae073d00bce6a0e1721f1eaac4f005fff346f4c39291a0be9571e
agreeableness-high,true,true,true,true,1,15,true,true,false,PASS,10026ad81bcbd673c923c28c63ef5aa1d5f97b27c7b89b7142e196aea65a0829
agreeableness-mid,true,true,true,true,1,15,true,true,false,PASS,d8b5635c203d5160bbab900aaabdb212a282aceaa6d9660511f9e335e5994391
agreeableness-low,true,true,true,true,1,15,true,true,false,PASS,84ecb1e40e26e3d8eace7b3834aa8397d0f2ae037abdae53979eaac3167d142d
neuroticism-high,true,true,true,true,1,15,true,true,false,PASS,4b7d6d371fd219cda5b77181decf0ff57fca60a6c321430b1402e0abafccb0af
neuroticism-mid,true,true,true,true,1,15,true,true,false,PASS,cad05eb15c8a731a81f6cdb1b63697b50d32c79666b2e0f6d1217220a262b785
neuroticism-low,true,true,true,true,1,15,true,true,false,PASS,e400865859b942aa0e06f05788c91cd09d00580140b11503400d5dbc1ed7e297
facets,true,true,true,true,1,11,true,true,true,FAIL,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
O1-imagination,true,true,true,true,1,16,true,true,false,PASS,7b7af71b2964a7640c4751b363766c14108a3dd4d8c25f982f4e3d2adc2bdc07
O2-aesthetics,true,true,true,true,1,16,true,true,false,PASS,844c6002928db2a90e7ee820cafd505bb57a0eab7886122f1a11a5c93a9710a0
O3-feelings,true,true,true,true,1,16,true,true,false,PASS,4128b07340cbea3658cc3ea55656a5d67f54e9372f9a487b9f548619d797da79
O4-actions,true,true,true,true,1,16,true,true,false,PASS,8678d98d9d87ad7c3148decd5142cc2ab9ed07f6e6c066e15cfac83e4fd8cb0a
O5-ideas,true,true,true,true,1,16,true,true,false,PASS,4a987af45d64a4ddb171ddcd67c8e0e6913fab45620241561c1e57c9f49d02e4
O6-values,true,true,true,true,1,16,true,true,false,PASS,b9277c04edd2eed3908ed30ba3a5d1e8cd4f660e575d43c3e7c7c10d35e96831
C1-competence,true,true,true,true,1,16,true,true,false,PASS,e145d8a6ac59db62069d7dd4f724b93b13cc83d913ad5e7008f40b6d2da69ead
C2-order,true,true,true,true,1,16,true,true,false,PASS,6ca26fc4a0b1a2b63ca1f9e965b4e7d7c8588f4eea539c7c877faadcddec84bc
C3-dutifulness,true,true,true,true,1,16,true,true,false,PASS,e803c4d8c2df9600d1003a7ae59e72e6dd27f3fad406e00b72708de925f76baa
C4-achievement-striving,true,true,true,true,1,16,true,true,false,PASS,203014b560974d683f788d480f21daf9ce75b8611f304119b0c363049490c831
C5-self-discipline,true,true,true,true,1,16,true,true,false,PASS,67ca8308554001748fddbaaabfcb4008ee5e6e4d2fc3a0757493ad704b71e308
