coupling_key,involved_traits,involved_bands,reason_new_asset_required,proposed_asset_roles,expected_asset_count,total_expected_new_assets_contribution,source_authority,runtime_use,production_use_allowed,ready_for_pilot,ready_for_runtime,ready_for_production,requires_content_owner_review
a_high_x_n_high,A|N,A:high|N:high,A/N pair exists only for A mid or low with N high; A high x N high is not an approved alias.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
a_high_x_n_low,A|N,A:high|N:low,A high x N low has no canonical B5-CONTENT-2 asset and is not a safe band alias.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
a_low_x_n_low,A|N,A:low|N:low,Existing A low x N high asset cannot cover N low without changing the band semantics.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_high_x_a_high,C|A,C:high|A:high,C/A has no canonical coupling asset in the current 12-group B5-CONTENT-2 package.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_high_x_a_low,C|A,C:high|A:low,C/A has no canonical asset and this band pair is not equivalent to any imported coupling key.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_high_x_e_high,C|E,C:high|E:high,Current C/E coverage only has E low x C low as an exact imported key; high/high requires separate review.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_high_x_e_low,C|E,C:high|E:low,E low x C low cannot cover C high; this is same trait pair with a different C band.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_high_x_n_low,C|N,C:high|N:low,Existing C/N assets cover N high only; N low is a separate band condition.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_low_x_a_high,C|A,C:low|A:high,C/A is not represented in the canonical coupling library; requires content owner decision.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_low_x_a_low,C|A,C:low|A:low,C/A is absent from imported B5-CONTENT-2 assets and cannot be inferred from another trait pair.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_low_x_e_high,C|E,C:low|E:high,C low x E high is not equivalent to E low x C low; E band differs.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_low_x_n_low,C|N,C:low|N:low,Existing C low x N high asset cannot cover N low without changing the band condition.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_mid_x_a_high,C|A,C:mid|A:high,C/A is absent and mid-band C needs explicit planning rather than aliasing to high or low.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_mid_x_e_high,C|E,C:mid|E:high,Current C/E asset coverage does not include C mid or E high.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
c_mid_x_n_high,C|N,C:mid|N:high,Existing C/N coverage has C high or C low with N high; C mid is not an approved alias.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
e_high_x_a_low,E|A,E:high|A:low,Existing E high x A high cannot cover A low; the A band differs.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
e_high_x_n_low,E|N,E:high|N:low,Current E/N assets cover N high pairings only; N low requires separate review.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
e_low_x_a_high,E|A,E:low|A:high,Existing E/A coverage only includes E high x A high; E low is a distinct band.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
e_low_x_a_low,E|A,E:low|A:low,E/A with both low bands is absent and is not covered by the imported E high x A high asset.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
e_low_x_n_low,E|N,E:low|N:low,E low x N low differs from approved E low x N high alias; N band is not equivalent.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
e_mid_x_a_high,E|A,E:mid|A:high,E mid x A high is not equivalent to existing E high x A high.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
e_mid_x_n_high,E|N,E:mid|N:high,E mid with N high is not covered by existing E high x N high or N high x E low assets.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_high_x_a_high,O|A,O:high|A:high,Existing O/A coverage only includes O high x A low; A high is distinct.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_high_x_c_high,O|C,O:high|C:high,Existing O/C assets cover opposite-band pairings; high/high needs its own decision.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_high_x_e_high,O|E,O:high|E:high,O/E has no canonical coupling asset in the imported package.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_high_x_e_low,O|E,O:high|E:low,O/E pair is absent and cannot be inferred from O/C or E/N assets.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_high_x_n_high,O|N,O:high|N:high,Existing O/N canonical coverage is N high x O mid-high; O high is not an approved alias.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_high_x_n_low,O|N,O:high|N:low,O high x N low differs from the imported O/N N high x O mid-high asset.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_low_x_a_high,O|A,O:low|A:high,Existing O/A asset has O high x A low; both bands differ here.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_low_x_a_low,O|A,O:low|A:low,O low x A low is absent and not equivalent to O high x A low.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_low_x_c_low,O|C,O:low|C:low,Existing O/C assets cover O high x C low and O low x C high; low/low is a new band pairing.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_low_x_e_high,O|E,O:low|E:high,O/E pair has no imported B5-CONTENT-2 coupling asset.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_low_x_e_low,O|E,O:low|E:low,O/E pair is absent and this low/low band pairing requires content owner review.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_low_x_n_high,O|N,O:low|N:high,O low x N high differs from the canonical N high x O mid-high band condition.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_low_x_n_low,O|N,O:low|N:low,O/N low/low is not covered by N high x O mid-high and is not a safe normalization.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_mid_x_a_high,O|A,O:mid|A:high,Existing O/A asset has O high x A low; O mid x A high is not equivalent.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_mid_x_c_high,O|C,O:mid|C:high,Existing O/C coverage does not include O mid x C high.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
o_mid_x_e_high,O|E,O:mid|E:high,O/E has no imported canonical coupling asset and O mid x E high needs planning.,coupling_core_explanation|coupling_benefit_cost|coupling_common_misread|coupling_action_strategy|coupling_scenario_bridge,5,5,B5-CONTENT-2B planning only,not_runtime,false,false,false,false,true
