coupling_group,coupling_label,asset_count,core_explanation,benefit_cost,common_misread,action_strategy,scenario_bridge,canonical_o59_support,status
n_high_x_o_mid_high,高情绪 × 中高开放,5,PASS,PASS,PASS,PASS,PASS,YES,PASS
n_high_x_e_low,高情绪 × 低外向,5,PASS,PASS,PASS,PASS,PASS,YES,PASS
e_low_x_c_low,低外向 × 低尽责,5,PASS,PASS,PASS,PASS,PASS,YES,PASS
c_low_x_n_high,低尽责 × 高情绪,5,PASS,PASS,PASS,PASS,PASS,YES,PASS
a_mid_x_n_high,中位宜人 × 高情绪,5,PASS,PASS,PASS,PASS,PASS,YES,PASS
o_high_x_c_low,高开放 × 低尽责,5,PASS,PASS,PASS,PASS,PASS,NO,PASS
c_high_x_n_high,高尽责 × 高情绪,5,PASS,PASS,PASS,PASS,PASS,NO,PASS
o_low_x_c_high,低开放 × 高尽责,5,PASS,PASS,PASS,PASS,PASS,NO,PASS
e_high_x_n_high,高外向 × 高情绪,5,PASS,PASS,PASS,PASS,PASS,NO,PASS
e_high_x_a_high,高外向 × 高宜人,5,PASS,PASS,PASS,PASS,PASS,NO,PASS
a_low_x_n_high,低宜人 × 高情绪,5,PASS,PASS,PASS,PASS,PASS,NO,PASS
o_high_x_a_low,高开放 × 低宜人,5,PASS,PASS,PASS,PASS,PASS,NO,PASS
