page_identity,entity_type,section_count_zh,section_count_en,faq_count_zh,faq_count_en,source_ids_match,locked_claims_present,visible_claims_present,status,input_cohort_sha256
big-five-hub,hub,20,20,7,7,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
openness,domain,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
conscientiousness,domain,16,16,7,7,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
extraversion,domain,16,16,7,7,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
agreeableness,domain,16,16,6,6,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
neuroticism,domain,16,16,6,6,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
openness-high,polarity,15,15,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
openness-mid,polarity,15,15,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
openness-low,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
conscientiousness-high,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
conscientiousness-mid,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
conscientiousness-low,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
extraversion-high,polarity,15,15,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
extraversion-mid,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
extraversion-low,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
agreeableness-high,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
agreeableness-mid,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
agreeableness-low,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
neuroticism-high,polarity,15,15,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
neuroticism-mid,polarity,15,15,4,4,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
neuroticism-low,polarity,15,15,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
facets,facet_hub,11,11,7,7,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
O1-imagination,facet_detail,16,16,6,6,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
O2-aesthetics,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
