coupling_key,asset_count,status,coupling_core_explanation,coupling_benefit_cost,coupling_common_misread,coupling_action_strategy,coupling_scenario_bridge
a_high_x_n_high,5,PASS,covered,covered,covered,covered,covered
a_high_x_n_low,5,PASS,covered,covered,covered,covered,covered
a_low_x_n_low,5,PASS,covered,covered,covered,covered,covered
c_high_x_a_high,5,PASS,covered,covered,covered,covered,covered
c_high_x_a_low,5,PASS,covered,covered,covered,covered,covered
c_high_x_e_high,5,PASS,covered,covered,covered,covered,covered
c_high_x_e_low,5,PASS,covered,covered,covered,covered,covered
c_high_x_n_low,5,PASS,covered,covered,covered,covered,covered
c_low_x_a_high,5,PASS,covered,covered,covered,covered,covered
c_low_x_a_low,5,PASS,covered,covered,covered,covered,covered
c_low_x_e_high,5,PASS,covered,covered,covered,covered,covered
c_low_x_n_low,5,PASS,covered,covered,covered,covered,covered
c_mid_x_a_high,5,PASS,covered,covered,covered,covered,covered
c_mid_x_e_high,5,PASS,covered,covered,covered,covered,covered
c_mid_x_n_high,5,PASS,covered,covered,covered,covered,covered
e_high_x_a_low,5,PASS,covered,covered,covered,covered,covered
e_high_x_n_low,5,PASS,covered,covered,covered,covered,covered
e_low_x_a_high,5,PASS,covered,covered,covered,covered,covered
e_low_x_a_low,5,PASS,covered,covered,covered,covered,covered
e_low_x_n_low,5,PASS,covered,covered,covered,covered,covered
e_mid_x_a_high,5,PASS,covered,covered,covered,covered,covered
e_mid_x_n_high,5,PASS,covered,covered,covered,covered,covered
o_high_x_a_high,5,PASS,covered,covered,covered,covered,covered
o_high_x_c_high,5,PASS,covered,covered,covered,covered,covered
o_high_x_e_high,5,PASS,covered,covered,covered,covered,covered
o_high_x_e_low,5,PASS,covered,covered,covered,covered,covered
o_high_x_n_high,5,PASS,covered,covered,covered,covered,covered
o_high_x_n_low,5,PASS,covered,covered,covered,covered,covered
o_low_x_a_high,5,PASS,covered,covered,covered,covered,covered
o_low_x_a_low,5,PASS,covered,covered,covered,covered,covered
o_low_x_c_low,5,PASS,covered,covered,covered,covered,covered
o_low_x_e_high,5,PASS,covered,covered,covered,covered,covered
o_low_x_e_low,5,PASS,covered,covered,covered,covered,covered
o_low_x_n_high,5,PASS,covered,covered,covered,covered,covered
o_low_x_n_low,5,PASS,covered,covered,covered,covered,covered
o_mid_x_a_high,5,PASS,covered,covered,covered,covered,covered
o_mid_x_c_high,5,PASS,covered,covered,covered,covered,covered
o_mid_x_e_high,5,PASS,covered,covered,covered,covered,covered
