question_id,direction,text_en,text_zh
1,1,"I feel down-hearted and blue.","近期我觉得心情郁闷、情绪低沉、不开心"
2,-1,"Morning is when I feel the best.","我觉得一天之中，在早晨的时候我的心情是最好的"
3,1,"I have crying spells or feel like it.","我会一阵阵哭出来或感觉很想哭"
4,1,"I have trouble sleeping at night.","我晚上睡眠不好"
5,-1,"I eat as much as I used to.","我最近食量比较平均，吃的和平时一样多"
6,-1,"I still enjoy sex.","我与异性亲密接触时和以往一样愉快"
7,1,"I notice that I am losing weight.","我感觉到体重有减轻"
8,1,"I have trouble with constipation.","我有便秘的苦恼"
9,1,"My heart beats faster than usual.","我感觉到心跳比平常快"
10,1,"I get tired for no reason.","我无缘无故地感到疲乏"
11,-1,"My mind is as clear as it used to be.","我的头脑跟平常一样清楚"
12,-1,"I find it easy to do the things I used to.","我做过去经常做的事情，不觉得有什么困难"
13,1,"I am restless and can't keep still.","我觉得不安，而且难以保持平静"
14,-1,"I feel hopeful about the future.","我对未来抱有希望"
15,1,"I am more irritable than usual.","我比平常容易生气激动"
16,-1,"I find it easy to make decisions.","我发现做出决定是容易的事"
17,-1,"I feel that I am useful and needed.","我觉得自己是个有用的人，有人需要我"
18,-1,"My life is pretty full.","我的生活过得很有意思"
19,1,"I feel that others would be better off if I were dead.","我认为如果我死了，别人会生活得好些"
20,-1,"I still enjoy the things I used to do.","对平常感兴趣的事情我仍然感兴趣"
