locale,entity_type,code,sections,faq,internal_links,word_estimate,source_package,source_hash
en,hub,big-five,11,5,7,497,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,domain,openness,12,5,5,564,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,domain,conscientiousness,12,5,5,545,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,domain,extraversion,12,5,5,550,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,domain,agreeableness,12,5,5,536,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,domain,neuroticism,12,5,5,593,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,high-openness,12,5,5,534,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,low-openness,12,5,5,538,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,high-conscientiousness,12,5,5,520,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,low-conscientiousness,12,5,5,551,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,high-extraversion,12,5,5,513,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,low-extraversion,12,5,5,529,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,high-agreeableness,12,5,5,527,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,low-agreeableness,12,5,5,536,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,high-neuroticism,12,5,5,572,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,polarity,emotional-stability,12,5,5,563,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
en,facet_hub,facets,11,5,7,454,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,hub,big-five,11,5,7,63,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,domain,openness,12,5,5,59,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,domain,conscientiousness,12,5,5,59,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,domain,extraversion,12,5,5,59,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,domain,agreeableness,12,5,5,59,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,domain,neuroticism,12,5,5,77,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,high-openness,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,low-openness,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,high-conscientiousness,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,low-conscientiousness,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,high-extraversion,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,low-extraversion,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,high-agreeableness,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,low-agreeableness,12,5,5,56,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,high-neuroticism,12,5,5,80,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,polarity,emotional-stability,12,5,5,72,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
zh-CN,facet_hub,facets,11,5,7,108,big-five-v1-content-editorial-repair-02,3a66cd9734f6023ce6bb61b3af3e30f4af07f475
