combination_key,o_band,c_band,e_band,a_band,n_band,nearest_canonical_profile_key,profile_label_zh,profile_match_confidence,canonical_profile_usage,profile_label_public_allowed,interpretation_scope,tension_level,primary_axis_zh,primary_trait_band_assets,primary_coupling_assets,facet_route_priorities,scenario_priorities,runtime_use,production_use_allowed,ready_for_pilot
O1_C1_E1_A1_N1,very_low,very_low,very_low,very_low,very_low,quiet_deep_worker,稳态深工者,low,generic_band_route,false,balanced_or_diffuse,low,五维低位组合｜先用行为观察收敛,O_very_low|C_very_low|E_very_low|A_very_low|N_very_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|边界表达,workplace|collaboration|personal_growth|relationships|stress_recovery,staging_only,false,false
O1_C1_E1_A1_N2,very_low,very_low,very_low,very_low,low,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,balanced_or_diffuse,low,五维低位组合｜先用行为观察收敛,O_very_low|C_very_low|E_very_low|A_very_low|N_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|边界表达,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A1_N3,very_low,very_low,very_low,very_low,mid,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,clear_signature,medium,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_very_low|N_mid,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|边界表达,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A1_N4,very_low,very_low,very_low,very_low,high,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,high_tension_or_mixed,high,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_very_low|N_high,n_high_x_e_low|e_low_x_c_low|c_low_x_n_high|a_low_x_n_high,压力信号感知|恢复阈值|启动与续航|条理能力|进入门槛,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A1_N5,very_low,very_low,very_low,very_low,very_high,overloaded_internalizer,高负荷内耗型,low,generic_band_route,false,high_tension_or_mixed,very_high,实际五维路由｜高情绪 / 低开放 / 低尽责,O_very_low|C_very_low|E_very_low|A_very_low|N_very_high,n_high_x_e_low|e_low_x_c_low|c_low_x_n_high|a_low_x_n_high,压力信号感知|恢复阈值|启动与续航|条理能力|进入门槛,stress_recovery|workplace|personal_growth|relationships|collaboration,staging_only,false,false
O1_C1_E1_A2_N1,very_low,very_low,very_low,low,very_low,quiet_deep_worker,稳态深工者,low,generic_band_route,false,balanced_or_diffuse,low,五维低位组合｜先用行为观察收敛,O_very_low|C_very_low|E_very_low|A_low|N_very_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|边界表达,workplace|collaboration|personal_growth|relationships|stress_recovery,staging_only,false,false
O1_C1_E1_A2_N2,very_low,very_low,very_low,low,low,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,balanced_or_diffuse,low,五维低位组合｜先用行为观察收敛,O_very_low|C_very_low|E_very_low|A_low|N_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|边界表达,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A2_N3,very_low,very_low,very_low,low,mid,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,clear_signature,medium,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_low|N_mid,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|边界表达,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A2_N4,very_low,very_low,very_low,low,high,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,high_tension_or_mixed,high,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_low|N_high,n_high_x_e_low|e_low_x_c_low|c_low_x_n_high|a_low_x_n_high,压力信号感知|恢复阈值|启动与续航|条理能力|进入门槛,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A2_N5,very_low,very_low,very_low,low,very_high,overloaded_internalizer,高负荷内耗型,low,generic_band_route,false,high_tension_or_mixed,very_high,实际五维路由｜高情绪 / 低开放 / 低尽责,O_very_low|C_very_low|E_very_low|A_low|N_very_high,n_high_x_e_low|e_low_x_c_low|c_low_x_n_high|a_low_x_n_high,压力信号感知|恢复阈值|启动与续航|条理能力|进入门槛,stress_recovery|workplace|personal_growth|relationships|collaboration,staging_only,false,false
O1_C1_E1_A3_N1,very_low,very_low,very_low,mid,very_low,quiet_deep_worker,稳态深工者,low,generic_band_route,false,clear_signature,medium,实际五维路由｜低情绪 / 低开放 / 低尽责,O_very_low|C_very_low|E_very_low|A_mid|N_very_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放,workplace|collaboration|personal_growth|relationships|stress_recovery,staging_only,false,false
O1_C1_E1_A3_N2,very_low,very_low,very_low,mid,low,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,clear_signature,medium,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_mid|N_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A3_N3,very_low,very_low,very_low,mid,mid,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,clear_signature,medium,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_mid|N_mid,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A3_N4,very_low,very_low,very_low,mid,high,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,high_tension_or_mixed,high,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_mid|N_high,n_high_x_e_low|e_low_x_c_low|c_low_x_n_high|a_mid_x_n_high,压力信号感知|恢复阈值|启动与续航|条理能力|进入门槛,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A3_N5,very_low,very_low,very_low,mid,very_high,overloaded_internalizer,高负荷内耗型,low,generic_band_route,false,high_tension_or_mixed,very_high,实际五维路由｜高情绪 / 低开放 / 低尽责,O_very_low|C_very_low|E_very_low|A_mid|N_very_high,n_high_x_e_low|e_low_x_c_low|c_low_x_n_high|a_mid_x_n_high,压力信号感知|恢复阈值|启动与续航|条理能力|进入门槛,stress_recovery|workplace|personal_growth|relationships|collaboration,staging_only,false,false
O1_C1_E1_A4_N1,very_low,very_low,very_low,high,very_low,quiet_deep_worker,稳态深工者,low,generic_band_route,false,high_tension_or_mixed,high,实际五维路由｜低情绪 / 低开放 / 低尽责,O_very_low|C_very_low|E_very_low|A_high|N_very_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|合作承接,workplace|collaboration|personal_growth|relationships|stress_recovery,staging_only,false,false
O1_C1_E1_A4_N2,very_low,very_low,very_low,high,low,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,high_tension_or_mixed,high,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_high|N_low,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|合作承接,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A4_N3,very_low,very_low,very_low,high,mid,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,high_tension_or_mixed,high,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_high|N_mid,e_low_x_c_low,启动与续航|条理能力|进入门槛|现实过滤下的开放|合作承接,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
O1_C1_E1_A4_N4,very_low,very_low,very_low,high,high,sensitive_independent_thinker,敏锐的独立思考者,low,generic_band_route,false,high_tension_or_mixed,high,实际五维路由｜低开放 / 低尽责 / 低外向,O_very_low|C_very_low|E_very_low|A_high|N_high,n_high_x_e_low|e_low_x_c_low|c_low_x_n_high,压力信号感知|恢复阈值|启动与续航|条理能力|进入门槛,workplace|relationships|stress_recovery|personal_growth|collaboration,staging_only,false,false
