trait_code,trait_label_zh,internal_band,display_band_label,score_range_0_100,asset_key,covered,canonical_support,canonical_score,canonical_display_label
O,开放性,very_low,明显偏低,"[0, 19]",domain_band.o.very_low.v0_1,True,False,,
O,开放性,low,偏低,"[20, 39]",domain_band.o.low.v0_1,True,False,,
O,开放性,mid,中位,"[40, 59]",domain_band.o.mid.v0_1,True,True,59,中高
O,开放性,high,中高,"[60, 79]",domain_band.o.high.v0_1,True,False,,
O,开放性,very_high,明显偏高,"[80, 100]",domain_band.o.very_high.v0_1,True,False,,
C,尽责性,very_low,明显偏低,"[0, 19]",domain_band.c.very_low.v0_1,True,False,,
C,尽责性,low,偏低,"[20, 39]",domain_band.c.low.v0_1,True,True,32,偏低
C,尽责性,mid,中位,"[40, 59]",domain_band.c.mid.v0_1,True,False,,
C,尽责性,high,中高,"[60, 79]",domain_band.c.high.v0_1,True,False,,
C,尽责性,very_high,明显偏高,"[80, 100]",domain_band.c.very_high.v0_1,True,False,,
E,外向性,very_low,明显偏低,"[0, 19]",domain_band.e.very_low.v0_1,True,False,,
E,外向性,low,偏低,"[20, 39]",domain_band.e.low.v0_1,True,True,20,明显偏低
E,外向性,mid,中位,"[40, 59]",domain_band.e.mid.v0_1,True,False,,
E,外向性,high,中高,"[60, 79]",domain_band.e.high.v0_1,True,False,,
E,外向性,very_high,明显偏高,"[80, 100]",domain_band.e.very_high.v0_1,True,False,,
A,宜人性,very_low,明显偏低,"[0, 19]",domain_band.a.very_low.v0_1,True,False,,
A,宜人性,low,偏低,"[20, 39]",domain_band.a.low.v0_1,True,False,,
A,宜人性,mid,中位,"[40, 59]",domain_band.a.mid.v0_1,True,True,55,中位略高
A,宜人性,high,中高,"[60, 79]",domain_band.a.high.v0_1,True,False,,
A,宜人性,very_high,明显偏高,"[80, 100]",domain_band.a.very_high.v0_1,True,False,,
N,情绪性,very_low,明显偏低,"[0, 19]",domain_band.n.very_low.v0_1,True,False,,
N,情绪性,low,偏低,"[20, 39]",domain_band.n.low.v0_1,True,False,,
N,情绪性,mid,中位,"[40, 59]",domain_band.n.mid.v0_1,True,False,,
N,情绪性,high,中高,"[60, 79]",domain_band.n.high.v0_1,True,True,68,中高
N,情绪性,very_high,明显偏高,"[80, 100]",domain_band.n.very_high.v0_1,True,False,,
