module_key,module_name_zh,target_section_keys,primary_section_key,secondary_surface,source_authority,allowed_asset_layers,not_allowed_in_this_module,b5_b1_import_relevance,qa_notes
module_00_trust_bar,顶部信任条,"[""methodology_and_access""]",methodology_and_access,shell_trust_strip,"[""big5_formal_result_page_v2_doc""]","[""L0_governance"", ""L7_result_state"", ""L10_QA_only""]","[""diagnostic_claim"", ""hiring_screening_claim"", ""fixed_type_language"", ""long_personality_body""]",partial_required_boundary_copy,May feed methodology boundary or shell trust strip; must not become a diagnostic or screening statement.
module_01_hero,首屏快读卡,"[""hero_summary""]",hero_summary,result_page_hero,"[""big5_formal_result_page_v2_doc"", ""big5_twenty_thousand_word_final_doc""]","[""L1_core_body"", ""L2_trait_band"", ""L4_coupling""]","[""complete_longform_report"", ""full_action_matrix"", ""clinical_claim"", ""hard_type_label""]",required,"Use for O59 profile label, one-sentence summary, strengths/risks and first action without generalizing to all users."
module_02_quick_understanding,三分钟理解版,"[""hero_summary"", ""core_portrait""]",hero_summary,core_portrait,"[""big5_formal_result_page_v2_doc"", ""big5_twenty_thousand_word_final_doc""]","[""L1_core_body"", ""L4_coupling"", ""L6_scenario_action""]","[""full_facet_directory"", ""full_methodology"", ""fixed_type_language""]",required,Bridges quick comprehension and core portrait; resolves drift from module_02_quick to canonical module_02_quick_understanding.
module_03_trait_deep_dive,五维分数深解,"[""domain_deep_dive""]",domain_deep_dive,none,"[""big5_formal_result_page_v2_doc"", ""big5_twenty_thousand_word_final_doc""]","[""L1_core_body"", ""L2_trait_band"", ""L3_gradient_modifier""]","[""facet_anomaly_primary"", ""scenario_only_action"", ""norms_claim_without_context""]",required,"Must cover O/C/E/A/N with position, help, cost, real-world use and boundary."
module_04_coupling,核心动力耦合,"[""core_portrait""]",core_portrait,none,"[""big5_formal_result_page_v2_doc"", ""big5_twenty_thousand_word_final_doc""]","[""L4_coupling"", ""L1_core_body"", ""L5_facet_precision""]","[""single_trait_only_claim"", ""profile_as_type"", ""unsupported_selector_card""]",required,Use for primary and secondary dynamics; resolves drift from coupling_card to primary_coupling/secondary_coupling.
module_05_facet_reframe,Facet 反直觉发现,"[""facet_details""]",facet_details,none,"[""big5_formal_result_page_v2_doc"", ""big5_twenty_thousand_word_final_doc""]","[""L5_facet_precision"", ""L1_core_body""]","[""pure_percentile_list_as_main_body"", ""unsupported_facet_claim"", ""all_placeholder""]",required,"Facet percentile may appear in directory/appendix, but main explanation must be narrative and inference-aware."
module_06_application_matrix,现实应用矩阵,"[""action_plan""]",action_plan,none,"[""big5_formal_result_page_v2_doc"", ""big5_twenty_thousand_word_final_doc""]","[""L6_scenario_action"", ""L4_coupling"", ""L7_result_state""]","[""generic_growth_bullet_only"", ""clinical_advice"", ""hiring_advice""]",required,"Must cover work, relationship, stress and growth. Resolves drift from work_card/relationship_card/stress_card/action_card."
module_07_collaboration_manual,协作说明书,"[""action_plan"", ""lifecycle""]",action_plan,lifecycle,"[""big5_formal_result_page_v2_doc""]","[""L6_scenario_action"", ""L8_lifecycle"", ""L9_share_feedback""]","[""private_stress_detail_for_share"", ""recruiting_claim"", ""full_lifecycle_runtime_wiring""]",partial_deferred,"Can contribute to action_plan, but full collaboration lifecycle belongs to later lifecycle/runtime mapping."
module_08_share_save,分享与保存,"[""lifecycle""]",lifecycle,shell_tools,"[""big5_formal_result_page_v2_doc""]","[""L8_lifecycle"", ""L9_share_feedback"", ""L10_QA_only""]","[""B5-B1_main_body"", ""raw_scores_in_share"", ""sensitive_stress_detail"", ""runtime_wiring_now""]",deferred_to_lifecycle,Not an 8-section core body target. Keep for later lifecycle / shell tools pack.
module_09_feedback_data_flywheel,反馈与数据飞轮,"[""lifecycle""]",lifecycle,observation,"[""big5_formal_result_page_v2_doc""]","[""L8_lifecycle"", ""L9_share_feedback"", ""L10_QA_only""]","[""B5-B1_main_body"", ""public_selector_metadata"", ""runtime_wiring_now""]",deferred_to_lifecycle,Resolves drift from module_09_feedback to canonical module_09_feedback_data_flywheel.
module_10_method_privacy,方法、边界与隐私,"[""methodology_and_access""]",methodology_and_access,none,"[""big5_formal_result_page_v2_doc"", ""big5_twenty_thousand_word_final_doc""]","[""L0_governance"", ""L7_result_state"", ""L1_core_body""]","[""accuracy_claim"", ""external_validity_claim"", ""medical_claim"", ""hiring_claim""]",required_boundary,"Must state continuous traits, not type, not diagnosis, not hiring, score/norm/facet boundary and privacy usage."
