module_key,module_name_zh,primary_section,secondary_surface,b5_b1_role,allowed_in_b5_b1,forbidden_use,notes
module_00_trust_bar,顶部信任条,methodology_and_access,shell_trust_strip,boundary_and_non_type_trust_copy,true,diagnosis_claim|hiring_claim|hard_type_claim,可映射为方法边界，也可在 shell 层做短信任条。
module_01_hero,首屏快读卡,hero_summary,,result_entry_and_snapshot,true,full_deep_body,用于结果摘要入口层。
module_02_quick_understanding,三分钟理解版,hero_summary,core_portrait,quick_logic_and_core_tension,true,replace_domain_deep_dive,承接首屏并可进入人格总览。
module_03_trait_deep_dive,五维分数深解,domain_deep_dive,,trait_first_deep_explanation,true,facet_only_explanation,五维深解主体。
module_04_coupling,核心动力耦合,core_portrait,,primary_and_secondary_dynamics,true,hard_profile_type,用于组合动力和主轴收束。
module_05_facet_reframe,Facet 反直觉发现,facet_details,,facet_reframe_and_anomaly,true,percentile_list_only,facet_details 主体。
module_06_application_matrix,现实应用矩阵,action_plan,,work_relationship_stress_growth_actions,true,generic_chicken_soup,四场景行动矩阵。
module_07_collaboration_manual,协作说明书,action_plan,lifecycle,collaboration_guidance_partial,true,force_as_main_deep_body,可部分进入 action_plan，完整承接归 lifecycle。
module_08_share_save,分享与保存,lifecycle,shell_tools,not_main_body,false,core_body,偏 lifecycle / shell tools，不是 B5-B1 主正文。
module_09_feedback_data_flywheel,反馈与数据飞轮,lifecycle,observation,not_main_body,false,core_body,偏 lifecycle / observation，不是 B5-B1 主正文。
module_10_method_privacy,方法、边界与隐私,methodology_and_access,,method_boundary_privacy,true,diagnosis_or_accuracy_claim,方法与边界说明。
