asset_id,asset_key,section_key,slot_key,kind,title_zh,body_chars,source_modules,runtime_use,production_use_allowed,rendered_preview_required,safety_tags
b5_b1_o59_hero_summary_001,canonical_o59.hero_summary.profile_summary.001,hero_summary,profile_summary,paragraph,BIG5 · 敏锐的独立思考者,142,module_01_hero|module_02_quick_understanding,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_hero_summary_002,canonical_o59.hero_summary.axis_callout.002,hero_summary,axis_callout,callout,主轴,137,module_01_hero|module_02_quick_understanding,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_hero_summary_003,canonical_o59.hero_summary.strengths.003,hero_summary,strengths,bullets,三个优势,79,module_01_hero|module_02_quick_understanding,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_hero_summary_004,canonical_o59.hero_summary.risks.004,hero_summary,risks,bullets,三个风险,66,module_01_hero|module_02_quick_understanding,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_hero_summary_005,canonical_o59.hero_summary.first_action.005,hero_summary,first_action,paragraph,接下来 48 小时,101,module_01_hero|module_06_application_matrix,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_hero_summary_006,canonical_o59.hero_summary.reading_boundary.006,hero_summary,reading_boundary,callout,阅读方式,108,module_00_trust_bar|module_01_hero,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domains_overview_007,canonical_o59.domains_overview.how_to_read.007,domains_overview,how_to_read,paragraph,如何理解五维,115,module_02_quick_understanding|module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domains_overview_008,canonical_o59.domains_overview.domain_snapshot_O.008,domains_overview,domain_snapshot_O,table_row,开放性 59｜中高,65,module_02_quick_understanding|module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domains_overview_009,canonical_o59.domains_overview.domain_snapshot_C.009,domains_overview,domain_snapshot_C,table_row,尽责性 32｜偏低,52,module_02_quick_understanding|module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domains_overview_010,canonical_o59.domains_overview.domain_snapshot_E.010,domains_overview,domain_snapshot_E,table_row,外向性 20｜明显偏低,55,module_02_quick_understanding|module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domains_overview_011,canonical_o59.domains_overview.domain_snapshot_A.011,domains_overview,domain_snapshot_A,table_row,宜人性 55｜中位略高,59,module_02_quick_understanding|module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domains_overview_012,canonical_o59.domains_overview.domain_snapshot_N.012,domains_overview,domain_snapshot_N,table_row,情绪性 68｜中高,55,module_02_quick_understanding|module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domains_overview_013,canonical_o59.domains_overview.overview_conclusion.013,domains_overview,overview_conclusion,callout,总览结论,117,module_02_quick_understanding|module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
b5_b1_o59_domain_deep_dive_014,canonical_o59.domain_deep_dive.domain_deep_O.014,domain_deep_dive,domain_deep_O,metric_card,开放性 59｜理解复杂性，但有现实锚点,183,module_03_trait_deep_dive,staging_only,false,true,non_diagnostic|non_hiring|no_accuracy_claim|no_hard_typing|continuous_trait_language|canonical_o59_only
