asset_key,trait,internal_band,module_key,section_key,slot_key,module_key_valid,section_key_valid,slot_key_present,dedupe_group_present,applies_to_present,avoid_when_present,render_surface_present,qa_result
domain_band.o.very_low.v0_1,O,very_low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.O.very_low,True,True,True,True,True,True,True,PASS
domain_band.o.low.v0_1,O,low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.O.low,True,True,True,True,True,True,True,PASS
domain_band.o.mid.v0_1,O,mid,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.O.mid,True,True,True,True,True,True,True,PASS
domain_band.o.high.v0_1,O,high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.O.high,True,True,True,True,True,True,True,PASS
domain_band.o.very_high.v0_1,O,very_high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.O.very_high,True,True,True,True,True,True,True,PASS
domain_band.c.very_low.v0_1,C,very_low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.C.very_low,True,True,True,True,True,True,True,PASS
domain_band.c.low.v0_1,C,low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.C.low,True,True,True,True,True,True,True,PASS
domain_band.c.mid.v0_1,C,mid,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.C.mid,True,True,True,True,True,True,True,PASS
domain_band.c.high.v0_1,C,high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.C.high,True,True,True,True,True,True,True,PASS
domain_band.c.very_high.v0_1,C,very_high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.C.very_high,True,True,True,True,True,True,True,PASS
domain_band.e.very_low.v0_1,E,very_low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.E.very_low,True,True,True,True,True,True,True,PASS
domain_band.e.low.v0_1,E,low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.E.low,True,True,True,True,True,True,True,PASS
domain_band.e.mid.v0_1,E,mid,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.E.mid,True,True,True,True,True,True,True,PASS
domain_band.e.high.v0_1,E,high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.E.high,True,True,True,True,True,True,True,PASS
domain_band.e.very_high.v0_1,E,very_high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.E.very_high,True,True,True,True,True,True,True,PASS
domain_band.a.very_low.v0_1,A,very_low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.A.very_low,True,True,True,True,True,True,True,PASS
domain_band.a.low.v0_1,A,low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.A.low,True,True,True,True,True,True,True,PASS
domain_band.a.mid.v0_1,A,mid,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.A.mid,True,True,True,True,True,True,True,PASS
domain_band.a.high.v0_1,A,high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.A.high,True,True,True,True,True,True,True,PASS
domain_band.a.very_high.v0_1,A,very_high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.A.very_high,True,True,True,True,True,True,True,PASS
domain_band.n.very_low.v0_1,N,very_low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.N.very_low,True,True,True,True,True,True,True,PASS
domain_band.n.low.v0_1,N,low,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.N.low,True,True,True,True,True,True,True,PASS
domain_band.n.mid.v0_1,N,mid,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.N.mid,True,True,True,True,True,True,True,PASS
domain_band.n.high.v0_1,N,high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.N.high,True,True,True,True,True,True,True,PASS
domain_band.n.very_high.v0_1,N,very_high,module_03_trait_deep_dive,domain_deep_dive,domain_deep_dive.N.very_high,True,True,True,True,True,True,True,PASS
