import_priority,package_key,package_name,recommended_codex_action,allowed_action,blocked_actions,required_before_next,notes
P0,B5-A-lite,Source Authority + Module Mapping Governance,stage governance files before body import; do not edit app/runtime,governance_stage_or_review_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""source authority QA"", ""mapping QA""]",Declares V2.0 as module master and two万字稿 as O59 canonical body master.
P0,B5-B1-O59-core-body,O59 Canonical Core Body Asset Import,stage as O59 canonical body fixture; do not generalize,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""rendered preview QA"", ""safety QA"", ""editorial QA""]",Covers 8 sections for sensitive_independent_thinker; source of O59 canonical body.
P0,B5-B1-Preview,O59 Rendered Preview QA Pack,use as QA contract input for fap-web tests,governance_stage_or_review_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""actual fap-web rendered preview execution""]",Defines must-render/must-not-render and section surface contracts.
P0,B5-CONTENT-0,内容资产结构规范,stage package as governance spec; do not wire runtime,governance_stage_or_review_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""schema consistency QA"", ""package checksum QA""]","Defines schema, band key rules, QA templates, ready_for_pilot hard gate, and batch plan."
P0,B5-CONTENT-1,五维 × 五档基础维度资产,stage import and validate as trait-band library,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""asset review"", ""rendered preview when selected""]",25 domain-band assets; O59 key support is O3_C2_E2_A3_N4.
P0,B5-CONTENT-2,维度耦合 / 组合动力资产,stage import and validate references,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""asset review"", ""reference consistency QA""]",Covers O59's five core coupling routes.
P0,B5-CONTENT-3,Facet 刻面解释 / 反直觉重构资产,stage import and validate facet_support fields,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""facet inference boundary QA"", ""rendered facet preview QA""]",All 30 facets; supports O59反直觉发现 and top facet explanations.
P0,B5-CONTENT-4,代表性画像 / 标准画像路由资产,stage import and validate profile metadata; do not expose as fixed type,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""profile label safety QA"", ""route consistency QA""]",O59 profile references B5-B1 instead of rewriting it.
P0,B5-CONTENT-5,场景应用 / 行动矩阵资产,stage import and validate scenario/profile matrix,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""share safety QA"", ""surface-level action QA""]",160 scenario action assets; v0.1.1 fixes checksum rule only.
P0,B5-CONTENT-6,3125 五维组合路由矩阵,stage import and validate all 3125 route rows; do not wire runtime,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""route reference consistency QA"", ""semantic consistency QA"", ""rendered preview of representative rows""]",v0.1.1 fixes low-confidence profile label leakage; O59 row remains direct_profile_route.
P1,B5-B1-Preview-Codex-Handoff,O59 Rendered Preview Execution Brief,create fap-web contract test only when explicitly requested,governance_stage_or_review_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""Codex fap-web execution"", ""pending surface accounting""]",Defines tested/pending/passed/failed surface output structure.
P1,selector-qa-policy-v0.1,Golden Cases + Selection Policy + Conflict Resolution,repair P0 policy issues before using as gate,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""add O59 production canonical case"", ""fix golden_group"", ""fix slot naming"", ""expand banned terms""]",Not content body; currently not a passing selector QA gate.
P1,selector-ready-assets-v0.3-p0-full,325 selector-ready assets v0.3 P0 full candidate,staging import only after reference consistency check; do not runtime wire,staging_import_or_validation_only,"[""runtime_wire"", ""production_import"", ""write_new_body_copy"", ""frontend_fallback_invention""]","[""reference consistency with B5-CONTENT-1~6"", ""coverage warning review"", ""rendered regression QA""]",Has asset_count 325 and sha proof in prior scan; not B5-B body.
P2,future-B5-B2-canonical-profile-thick-body,future B5-B2 canonical profile thick body,not started; prepare only after B5-B1 rendered preview and source authority are stable,planning_only,"[""runtime_wire"", ""production_import"", ""write_without_source_authority""]","[""B5-H rendered QA expansion"", ""B5-B1 preview execution""]",Future thick-body expansion; not part of current catalog import.
P2,future-rendered-QA-expansion,future rendered QA expansion,build broader rendered preview QA after representative content is staged,QA planning,"[""claim production ready without screenshots/tests""]","[""fap-web surface harness""]",Needed for desktop/mobile/PDF/share/history/compare.
P2,future-CMS-runtime-import,future CMS/runtime import,blocked until import policy and rendered QA pass,planning_only,"[""runtime_wire"", ""production_import""]","[""production import policy"", ""merge preview"", ""no P0 blockers""]",Runtime/CMS import is not approved.
