asset_index,page_identity,authority_asset_key,entity_type,entity_key,parent_identity,zh_source_path,zh_source_sha256,zh_section_count,zh_faq_count,zh_source_ids,zh_runtime_projection_sha256,zh_canonical_path,target_editorial_locale,backend_locale_contract,en_locked_name,en_slug,en_canonical_path,en_output_path,en_claim_output_path,translation_pr,translation_status
1,big-five-hub,big-five-hub,hub,big-five,,pages/hub/big-five-hub.zh-CN.md,d8c88b81ba294fac6db0398121a299671d0c4f14232bbf009995dbb68104f552,20,7,"S1,S2,S11,S9,S4",42a8197ef3aadcde56cf79749bfb1e590485dd1959df1decd771e9e64d07e4c8,/zh/personality/big-five,en-US,en,The Big Five Personality Model,big-five,/en/personality/big-five,pages/hub/big-five-hub.en-US.md,evidence/big-five-hub.claims.json,BIG5-EN52-HUBS-02,pending
2,openness,openness,domain,openness,big-five,pages/domains/openness.zh-CN.md,60ddd68dfc8469ca60d4b21604b70090b27d5c58eef616cd08ea52804d6fe6a4,16,5,"S1,S11,S2,S10",9bb21991471a9811deeed81bb612fc34006de82866f5d95bba4886f72b308b37,/zh/personality/big-five/openness,en-US,en,Openness to Experience,big-five/openness,/en/personality/big-five/openness,pages/domains/openness.en-US.md,evidence/openness.claims.json,BIG5-EN52-DOMAINS-03,pending
3,conscientiousness,conscientiousness,domain,conscientiousness,big-five,pages/domains/conscientiousness.zh-CN.md,92c9ef60831dd514f49e51bc3fe33925843b12ce683f9eaf43542cd67f72e454,16,7,"S1,S11,S2,S9,S4",a8699d7f393f6924590221e69301baa75bcee0971d1935fb3bc0478b132e552e,/zh/personality/big-five/conscientiousness,en-US,en,Conscientiousness,big-five/conscientiousness,/en/personality/big-five/conscientiousness,pages/domains/conscientiousness.en-US.md,evidence/conscientiousness.claims.json,BIG5-EN52-DOMAINS-03,pending
4,extraversion,extraversion,domain,extraversion,big-five,pages/domains/extraversion.zh-CN.md,13cb0768af0c903a1f88360773ade8c273eb9d106a837276deae666f3825e176,16,7,"S1,S11,S2,S4",ce1a9e2e8831c5f55d229bc49edb216f2a57097169112d22328bd30cfde7de8f,/zh/personality/big-five/extraversion,en-US,en,Extraversion,big-five/extraversion,/en/personality/big-five/extraversion,pages/domains/extraversion.en-US.md,evidence/extraversion.claims.json,BIG5-EN52-DOMAINS-03,pending
5,agreeableness,agreeableness,domain,agreeableness,big-five,pages/domains/agreeableness.zh-CN.md,090f8d6a169a9a2177a7a4b0e5a7abfab43ec0f7c653b54c0ed19210a10369cf,16,6,"S1,S11,S2",a5109eed15c48e28c4c13370709d4f7c03512788f9604c9a6e00a29d6cb79a2c,/zh/personality/big-five/agreeableness,en-US,en,Agreeableness,big-five/agreeableness,/en/personality/big-five/agreeableness,pages/domains/agreeableness.en-US.md,evidence/agreeableness.claims.json,BIG5-EN52-DOMAINS-03,pending
6,neuroticism,neuroticism,domain,neuroticism,big-five,pages/domains/neuroticism.zh-CN.md,1cd96bc940486c21d4d79d809a49e678dd627300ee791be92663eefb6d65ab4b,16,6,"S1,S11,S2,S4",fbbe471ac8e9a813f2cbbb0f7629f70c91edaec6cf1dc81361a3e2cdd566f7eb,/zh/personality/big-five/neuroticism,en-US,en,Neuroticism,big-five/neuroticism,/en/personality/big-five/neuroticism,pages/domains/neuroticism.en-US.md,evidence/neuroticism.claims.json,BIG5-EN52-DOMAINS-03,pending
7,openness-high,openness-high,polarity,openness-high,openness,pages/ranges/openness-high.zh-CN.md,e810cbe054e7eada0f7772f0efca02a0998163a9506c170a7cbd2a57a2b4197b,15,5,"S1,S4",3c4c3881fec2530e430e6f62208ef574a7d67fd482db022e404d91b8e7a7b046,/zh/personality/big-five/openness-high,en-US,en,High Openness to Experience,big-five/openness-high,/en/personality/big-five/openness-high,pages/ranges/openness-high.en-US.md,evidence/openness-high.claims.json,BIG5-EN52-RANGES-04,pending
8,openness-mid,openness-mid,polarity,openness-mid,openness,pages/ranges/openness-mid.zh-CN.md,2635ad06c5d9009733f535ebbcb5ac23205fffcc7875adeee2b6ff27cdb4c49f,15,5,S1,0bc6dc07361cbd680b3fae33610f084d9ffa1487253042b130815b185d5fd474,/zh/personality/big-five/openness-mid,en-US,en,Mid-Range Openness to Experience,big-five/openness-mid,/en/personality/big-five/openness-mid,pages/ranges/openness-mid.en-US.md,evidence/openness-mid.claims.json,BIG5-EN52-RANGES-04,pending
9,openness-low,openness-low,polarity,openness-low,openness,pages/ranges/openness-low.zh-CN.md,f2c8c4739cac39da24f6692061750dadb1e84107a0558afebdb4491b525dd2d8,15,4,S1,199e9e616c368ddb3210c4621ea67c5c60fb445085ed76baef223c3a41bad1ce,/zh/personality/big-five/openness-low,en-US,en,Low Openness to Experience,big-five/openness-low,/en/personality/big-five/openness-low,pages/ranges/openness-low.en-US.md,evidence/openness-low.claims.json,BIG5-EN52-RANGES-04,pending
10,conscientiousness-high,conscientiousness-high,polarity,conscientiousness-high,conscientiousness,pages/ranges/conscientiousness-high.zh-CN.md,73965a5f7d791faf5ebec82fdeb4e974d56581f2c8b8ef8fd685980f69c4db4c,15,4,S1,92ec2bd740c5ae2e546bf66ffa346e58fcec3d1b41628819a43bf0e34792f2af,/zh/personality/big-five/conscientiousness-high,en-US,en,High Conscientiousness,big-five/conscientiousness-high,/en/personality/big-five/conscientiousness-high,pages/ranges/conscientiousness-high.en-US.md,evidence/conscientiousness-high.claims.json,BIG5-EN52-RANGES-04,pending
11,conscientiousness-mid,conscientiousness-mid,polarity,conscientiousness-mid,conscientiousness,pages/ranges/conscientiousness-mid.zh-CN.md,f4050329730593b1792f157e67940c43cca8ada9a7c31be02fbeb6dfd3b3ecc0,15,4,S1,b24b8b4ab78e3faa7a700c1eac95fc3c7e62a2d6633e536198361b3fa43fd0cb,/zh/personality/big-five/conscientiousness-mid,en-US,en,Mid-Range Conscientiousness,big-five/conscientiousness-mid,/en/personality/big-five/conscientiousness-mid,pages/ranges/conscientiousness-mid.en-US.md,evidence/conscientiousness-mid.claims.json,BIG5-EN52-RANGES-04,pending
12,conscientiousness-low,conscientiousness-low,polarity,conscientiousness-low,conscientiousness,pages/ranges/conscientiousness-low.zh-CN.md,11c057f36e2dc3f76708b3228e131f794b5e823cf36bf1aa4db61f98180812ca,15,4,S1,06136d3a8f070b64f3897b792450444a8a93c359250e4acf544dc186646ae728,/zh/personality/big-five/conscientiousness-low,en-US,en,Low Conscientiousness,big-five/conscientiousness-low,/en/personality/big-five/conscientiousness-low,pages/ranges/conscientiousness-low.en-US.md,evidence/conscientiousness-low.claims.json,BIG5-EN52-RANGES-04,pending
13,extraversion-high,extraversion-high,polarity,extraversion-high,extraversion,pages/ranges/extraversion-high.zh-CN.md,7b3bbbbb897f3a89f52462709ab7778588b5a68367a37d0b23a35298b2653f32,15,5,S1,1788eacb300313603c92264e2e514e3f12143f4014e83415c59eb70cc3ad5b76,/zh/personality/big-five/extraversion-high,en-US,en,High Extraversion,big-five/extraversion-high,/en/personality/big-five/extraversion-high,pages/ranges/extraversion-high.en-US.md,evidence/extraversion-high.claims.json,BIG5-EN52-RANGES-04,pending
14,extraversion-mid,extraversion-mid,polarity,extraversion-mid,extraversion,pages/ranges/extraversion-mid.zh-CN.md,4e6320006ba8b9542fbd268cb7852dec1f760c9a5bbede86f969b543643390ce,15,4,S1,a8d95751aea4099d44ab20e9ccb00646ef53fa49f770cb2ed3345916312a9fc2,/zh/personality/big-five/extraversion-mid,en-US,en,Mid-Range Extraversion,big-five/extraversion-mid,/en/personality/big-five/extraversion-mid,pages/ranges/extraversion-mid.en-US.md,evidence/extraversion-mid.claims.json,BIG5-EN52-RANGES-04,pending
15,extraversion-low,extraversion-low,polarity,extraversion-low,extraversion,pages/ranges/extraversion-low.zh-CN.md,9b044fa774df2977654787cde5892af0a11bcd75551c19c70213d009d72f19ea,15,4,S1,ad45c0411224153a1cfb2aee3cd26c842e12ac24071bb9c26ca17efafb74666b,/zh/personality/big-five/extraversion-low,en-US,en,Low Extraversion,big-five/extraversion-low,/en/personality/big-five/extraversion-low,pages/ranges/extraversion-low.en-US.md,evidence/extraversion-low.claims.json,BIG5-EN52-RANGES-04,pending
16,agreeableness-high,agreeableness-high,polarity,agreeableness-high,agreeableness,pages/ranges/agreeableness-high.zh-CN.md,1f1c2a1ed933d445bdf01b35c1177d733194e6146915def8643ed32cc50b5b4f,15,4,S1,a7f24de22e7e13081cdd491ff8dbb048556762b45527088e5fcd4cdac38a5874,/zh/personality/big-five/agreeableness-high,en-US,en,High Agreeableness,big-five/agreeableness-high,/en/personality/big-five/agreeableness-high,pages/ranges/agreeableness-high.en-US.md,evidence/agreeableness-high.claims.json,BIG5-EN52-RANGES-04,pending
17,agreeableness-mid,agreeableness-mid,polarity,agreeableness-mid,agreeableness,pages/ranges/agreeableness-mid.zh-CN.md,e315676649892ffab3a447362fb40c168a1a303722512720c1c931a149d71794,15,4,S1,0ecdce33cb18f87942690d9bb7baca8f95717791a6d5f24a0674a0da4bb806df,/zh/personality/big-five/agreeableness-mid,en-US,en,Mid-Range Agreeableness,big-five/agreeableness-mid,/en/personality/big-five/agreeableness-mid,pages/ranges/agreeableness-mid.en-US.md,evidence/agreeableness-mid.claims.json,BIG5-EN52-RANGES-04,pending
