asset_id,asset_key,asset_version,asset_type,asset_layer,trait_code,trait_label_zh,facet_key,facet_slug,facet_label_zh,facet_role,facet_direction,module_key,section_key,slot_key,copy_role,reading_mode,title_zh,summary_zh,body_zh,short_body_zh,benefit_zh,cost_zh,common_misread_zh,action_zh,selection_priority,selection_specificity,fallback_allowed,render_surface,qa_status,ready_for_pilot,runtime_use,production_use_allowed,facet_support_inference_only,facet_support_item_count,facet_support_confidence,facet_support_not_independent_measurement,facet_support_requires_method_boundary,safety_tags,canonical_support
big5_facet_v0_1_o1_facet_glossary,big5_facet_v0_1_o1_facet_glossary,v0_1,facet_glossary,L5_facet_precision,O,开放性,O1,imagination,想象力,facet_glossary,glossary,module_05_facet_reframe,facet_details,facet_details.o1.glossary,user_visible_body,standard|deep,想象力：开放性的细部观察入口,用于解释 O1 想象力 大致观察什么。,想象力是开放性下面的一个细部入口，主要观察一个人是否容易在脑中生成可能性、画面、假设和非标准路径。它不能单独决定一个人的性格，也不适合脱离五维和现实场景单独解读。更稳妥的用法，是把它看成一条解释线索：当新经验、复杂性与现实过滤出现变化时，这个细部会提示你哪一种反应更容易被调动。真正有价值的不是数字本身，而是它如何和同一维度的其他细部、当前环境与行动成本一起工作。,用于解释 O1 想象力 大致观察什么。,帮助用户把开放性从一个宽维度拆成更具体的观察线索。,如果脱离五维和现实场景单独使用，容易把一个细部误读成完整结论。,把想象力当成独立性格判断，而不是辅助解释线索。,阅读时先看它和同一维度其他细部是否一致，再决定是否进入反直觉重构。,50,45,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o1_facet_high_reframe,big5_facet_v0_1_o1_facet_high_reframe,v0_1,facet_reframe,L5_facet_precision,O,开放性,O1,imagination,想象力,facet_high_reframe,high,module_05_facet_reframe,facet_details,facet_details.o1.high_reframe,user_visible_body,standard|deep,想象力偏高：优势、代价与常见误读,用于解释 O1 想象力 大致观察什么。,当想象力偏高时，通常表示更容易在事情尚未成形时看到另一种可能，把经验、画面和隐含关系连起来。它的帮助在于：能把复杂问题打开，适合做早期构想、方案联想和体验推演。它的代价在于：容易在现实约束还没清楚前先进入脑内推演，行动入口可能变宽。常见误读是：别人可能以为你不落地，其实你是在先测试可能性是否值得靠近。更好的使用方式不是把这个倾向当成身份结论，而是把它转成可调节的策略：先把想象压缩成一个可验证问题，再决定是否继续投入。,用于解释 O1 想象力 大致观察什么。,能把复杂问题打开，适合做早期构想、方案联想和体验推演,容易在现实约束还没清楚前先进入脑内推演，行动入口可能变宽,别人可能以为你不落地，其实你是在先测试可能性是否值得靠近,先把想象压缩成一个可验证问题，再决定是否继续投入,78,82,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o1_facet_low_reframe,big5_facet_v0_1_o1_facet_low_reframe,v0_1,facet_reframe,L5_facet_precision,O,开放性,O1,imagination,想象力,facet_low_reframe,low,module_05_facet_reframe,facet_details,facet_details.o1.low_reframe,user_visible_body,standard|deep,想象力偏低：优势、代价与常见误读,用于解释 O1 想象力 大致观察什么。,当想象力偏低时，通常表示更容易从现有材料和现实条件出发，不会为了想象而过度发散。它的帮助在于：能保持现实感，适合把问题做稳、做清楚、做成可执行步骤。它的代价在于：可能错过一些早期模糊但有潜力的方向，对未知方案进入较慢。常见误读是：别人可能以为你没有创造力，其实你只是更需要现实证据。更好的使用方式不是把低分看成缺陷，而是把它放回场景里校准：给新想法一个小试验窗口，而不是一开始就要求它完整成立。,用于解释 O1 想象力 大致观察什么。,能保持现实感，适合把问题做稳、做清楚、做成可执行步骤,可能错过一些早期模糊但有潜力的方向，对未知方案进入较慢,别人可能以为你没有创造力，其实你只是更需要现实证据,给新想法一个小试验窗口，而不是一开始就要求它完整成立,78,82,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o2_facet_glossary,big5_facet_v0_1_o2_facet_glossary,v0_1,facet_glossary,L5_facet_precision,O,开放性,O2,artistic_interests,审美兴趣,facet_glossary,glossary,module_05_facet_reframe,facet_details,facet_details.o2.glossary,user_visible_body,standard|deep,审美兴趣：开放性的细部观察入口,用于解释 O2 审美兴趣 大致观察什么。,审美兴趣是开放性下面的一个细部入口，主要观察一个人是否容易被形式、质感、氛围、声音、图像和表达方式触动。它不能单独决定一个人的性格，也不适合脱离五维和现实场景单独解读。更稳妥的用法，是把它看成一条解释线索：当新经验、复杂性与现实过滤出现变化时，这个细部会提示你哪一种反应更容易被调动。真正有价值的不是数字本身，而是它如何和同一维度的其他细部、当前环境与行动成本一起工作。,用于解释 O2 审美兴趣 大致观察什么。,帮助用户把开放性从一个宽维度拆成更具体的观察线索。,如果脱离五维和现实场景单独使用，容易把一个细部误读成完整结论。,把审美兴趣当成独立性格判断，而不是辅助解释线索。,阅读时先看它和同一维度其他细部是否一致，再决定是否进入反直觉重构。,50,45,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o2_facet_high_reframe,big5_facet_v0_1_o2_facet_high_reframe,v0_1,facet_reframe,L5_facet_precision,O,开放性,O2,artistic_interests,审美兴趣,facet_high_reframe,high,module_05_facet_reframe,facet_details,facet_details.o2.high_reframe,user_visible_body,standard|deep,审美兴趣偏高：优势、代价与常见误读,用于解释 O2 审美兴趣 大致观察什么。,当审美兴趣偏高时，通常表示更容易注意到环境和作品的质地，对美感、氛围和表达的细节更敏锐。它的帮助在于：能提升体验质量，也更容易发现别人忽略的呈现细节。它的代价在于：可能对粗糙、廉价或没有质感的环境更难忍受，消耗更早出现。常见误读是：别人可能以为你挑剔，其实你是在感受体验质量是否被认真对待。更好的使用方式不是把这个倾向当成身份结论，而是把它转成可调节的策略：把审美判断翻译成具体标准，例如光线、节奏、材料或表达效果。,用于解释 O2 审美兴趣 大致观察什么。,能提升体验质量，也更容易发现别人忽略的呈现细节,可能对粗糙、廉价或没有质感的环境更难忍受，消耗更早出现,别人可能以为你挑剔，其实你是在感受体验质量是否被认真对待,把审美判断翻译成具体标准，例如光线、节奏、材料或表达效果,78,82,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o2_facet_low_reframe,big5_facet_v0_1_o2_facet_low_reframe,v0_1,facet_reframe,L5_facet_precision,O,开放性,O2,artistic_interests,审美兴趣,facet_low_reframe,low,module_05_facet_reframe,facet_details,facet_details.o2.low_reframe,user_visible_body,standard|deep,审美兴趣偏低：优势、代价与常见误读,用于解释 O2 审美兴趣 大致观察什么。,当审美兴趣偏低时，通常表示更少被形式和氛围牵动，注意力更容易回到功能、效率和现实任务。它的帮助在于：能减少对环境细节的消耗，适合处理明确目标和直接问题。它的代价在于：可能低估形式对体验、关系和品牌信任的影响。常见误读是：别人可能以为你不懂美感，其实你只是优先关注事情能不能解决。更好的使用方式不是把低分看成缺陷，而是把它放回场景里校准：在关键场景预留一次体验检查，确认功能之外是否也让人愿意靠近。,用于解释 O2 审美兴趣 大致观察什么。,能减少对环境细节的消耗，适合处理明确目标和直接问题,可能低估形式对体验、关系和品牌信任的影响,别人可能以为你不懂美感，其实你只是优先关注事情能不能解决,在关键场景预留一次体验检查，确认功能之外是否也让人愿意靠近,78,82,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o3_facet_glossary,big5_facet_v0_1_o3_facet_glossary,v0_1,facet_glossary,L5_facet_precision,O,开放性,O3,emotionality,情感感受性,facet_glossary,glossary,module_05_facet_reframe,facet_details,facet_details.o3.glossary,user_visible_body,standard|deep,情感感受性：开放性的细部观察入口,用于解释 O3 情感感受性 大致观察什么。,情感感受性是开放性下面的一个细部入口，主要观察一个人是否容易觉察自己和他人的细微感受，以及感受对判断的影响。它不能单独决定一个人的性格，也不适合脱离五维和现实场景单独解读。更稳妥的用法，是把它看成一条解释线索：当新经验、复杂性与现实过滤出现变化时，这个细部会提示你哪一种反应更容易被调动。真正有价值的不是数字本身，而是它如何和同一维度的其他细部、当前环境与行动成本一起工作。,用于解释 O3 情感感受性 大致观察什么。,帮助用户把开放性从一个宽维度拆成更具体的观察线索。,如果脱离五维和现实场景单独使用，容易把一个细部误读成完整结论。,把情感感受性当成独立性格判断，而不是辅助解释线索。,阅读时先看它和同一维度其他细部是否一致，再决定是否进入反直觉重构。,50,45,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o3_facet_high_reframe,big5_facet_v0_1_o3_facet_high_reframe,v0_1,facet_reframe,L5_facet_precision,O,开放性,O3,emotionality,情感感受性,facet_high_reframe,high,module_05_facet_reframe,facet_details,facet_details.o3.high_reframe,user_visible_body,standard|deep,情感感受性偏高：优势、代价与常见误读,用于解释 O3 情感感受性 大致观察什么。,当情感感受性偏高时，通常表示更容易捕捉情绪层面的变化，能把事实之外的感受线索纳入理解。它的帮助在于：能让判断更有人味，也更容易读出关系中的隐含张力。它的代价在于：可能把场景里的情绪噪音带回内部，难以只按事实切割。常见误读是：别人可能以为你想太多，其实你是在整合情绪信息。更好的使用方式不是把这个倾向当成身份结论，而是把它转成可调节的策略：先区分事实、感受和假设，再决定哪一部分需要回应。,用于解释 O3 情感感受性 大致观察什么。,能让判断更有人味，也更容易读出关系中的隐含张力,可能把场景里的情绪噪音带回内部，难以只按事实切割,别人可能以为你想太多，其实你是在整合情绪信息,先区分事实、感受和假设，再决定哪一部分需要回应,78,82,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o3_facet_low_reframe,big5_facet_v0_1_o3_facet_low_reframe,v0_1,facet_reframe,L5_facet_precision,O,开放性,O3,emotionality,情感感受性,facet_low_reframe,low,module_05_facet_reframe,facet_details,facet_details.o3.low_reframe,user_visible_body,standard|deep,情感感受性偏低：优势、代价与常见误读,用于解释 O3 情感感受性 大致观察什么。,当情感感受性偏低时，通常表示更容易把注意力放在事实和任务上，不太被细微感受牵动。它的帮助在于：能在情绪复杂时保持清楚，适合需要快速处理客观问题的场景。它的代价在于：可能较晚发现关系里已经累积的微妙不适。常见误读是：别人可能以为你冷，其实你只是更少把感受当成第一信号。更好的使用方式不是把低分看成缺陷，而是把它放回场景里校准：在关键合作后补一个感受复盘，问自己是否有未命名的不舒服。,用于解释 O3 情感感受性 大致观察什么。,能在情绪复杂时保持清楚，适合需要快速处理客观问题的场景,可能较晚发现关系里已经累积的微妙不适,别人可能以为你冷，其实你只是更少把感受当成第一信号,在关键合作后补一个感受复盘，问自己是否有未命名的不舒服,78,82,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
big5_facet_v0_1_o4_facet_glossary,big5_facet_v0_1_o4_facet_glossary,v0_1,facet_glossary,L5_facet_precision,O,开放性,O4,adventurousness,探索行动,facet_glossary,glossary,module_05_facet_reframe,facet_details,facet_details.o4.glossary,user_visible_body,standard|deep,探索行动：开放性的细部观察入口,用于解释 O4 探索行动 大致观察什么。,探索行动是开放性下面的一个细部入口，主要观察一个人是否愿意主动靠近新场景、新路径、新体验和不熟悉环境。它不能单独决定一个人的性格，也不适合脱离五维和现实场景单独解读。更稳妥的用法，是把它看成一条解释线索：当新经验、复杂性与现实过滤出现变化时，这个细部会提示你哪一种反应更容易被调动。真正有价值的不是数字本身，而是它如何和同一维度的其他细部、当前环境与行动成本一起工作。,用于解释 O4 探索行动 大致观察什么。,帮助用户把开放性从一个宽维度拆成更具体的观察线索。,如果脱离五维和现实场景单独使用，容易把一个细部误读成完整结论。,把探索行动当成独立性格判断，而不是辅助解释线索。,阅读时先看它和同一维度其他细部是否一致，再决定是否进入反直觉重构。,50,45,False,result_page|pdf,draft,False,staging_only,False,True,3,medium,True,True,continuous_trait_language|non_diagnostic|non_hiring|no_hard_typing|no_accuracy_claim|inference_only|not_independent_measurement|requires_method_boundary|no_percentile_as_primary_explanation,
