coupling_key,asset_role,expected_count,actual_count,module_key,section_key,slot_key,status
a_high_x_n_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
a_high_x_n_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
a_high_x_n_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
a_high_x_n_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
a_high_x_n_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
a_high_x_n_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
a_high_x_n_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
a_high_x_n_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
a_high_x_n_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
a_high_x_n_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
a_low_x_n_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
a_low_x_n_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
a_low_x_n_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
a_low_x_n_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
a_low_x_n_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_high_x_a_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_high_x_a_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_high_x_a_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_high_x_a_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_high_x_a_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_high_x_a_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_high_x_a_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_high_x_a_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_high_x_a_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_high_x_a_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_high_x_e_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_high_x_e_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_high_x_e_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_high_x_e_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_high_x_e_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_high_x_e_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_high_x_e_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_high_x_e_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_high_x_e_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_high_x_e_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_high_x_n_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_high_x_n_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_high_x_n_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_high_x_n_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_high_x_n_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_low_x_a_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_low_x_a_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_low_x_a_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_low_x_a_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_low_x_a_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_low_x_a_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_low_x_a_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_low_x_a_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_low_x_a_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_low_x_a_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_low_x_e_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_low_x_e_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_low_x_e_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_low_x_e_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_low_x_e_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_low_x_n_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_low_x_n_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_low_x_n_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_low_x_n_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_low_x_n_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_mid_x_a_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_mid_x_a_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_mid_x_a_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_mid_x_a_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_mid_x_a_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_mid_x_e_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_mid_x_e_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_mid_x_e_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_mid_x_e_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_mid_x_e_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
c_mid_x_n_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
c_mid_x_n_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
c_mid_x_n_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
c_mid_x_n_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
c_mid_x_n_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
e_high_x_a_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
e_high_x_a_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
e_high_x_a_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
e_high_x_a_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
e_high_x_a_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
e_high_x_n_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
e_high_x_n_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
e_high_x_n_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
e_high_x_n_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
e_high_x_n_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
e_low_x_a_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
e_low_x_a_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
e_low_x_a_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,primary_coupling.common_misread,PASS
e_low_x_a_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,primary_coupling.action_strategy,PASS
e_low_x_a_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,primary_coupling.scenario_bridge,PASS
e_low_x_a_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,primary_coupling.core_explanation,PASS
e_low_x_a_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,primary_coupling.benefit_cost,PASS
